img_name,label,img_name_disk,true_L,true_a,true_b
lipstick__bodyography__lipstick__tolede.jpg,bullet_lipstick,lipstick__bodyography__lipstick__tolede.jpg,48.77643778,29.06927408,12.67454745
lipstick__buxom__full_force_plumping_lipstick__icon.jpg,swatch,lipstick__buxom__full_force_plumping_lipstick__icon.jpg,51.22963417,37.69706478,30.03358723
lipstick__buxom__fullon_satin_lipstick__rose_bubbles.jpg,swatch,lipstick__buxom__fullon_satin_lipstick__rose_bubbles.jpg,49.47105771,66.48381332,16.50843861
lipstick__byredo__lipstick__commuter.jpg,bullet_lipstick,lipstick__byredo__lipstick__commuter.jpg,36.82560567,30.2496998,12.85850744
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour_qJ331Kj.jpg,other,,,,
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour_UnB3jAY.jpg,other,,,,
lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour_awCuR9P.jpg,swatch,,,,
lipstick__chanel__rouge_allure_luminous_intense_lip_colour__211_subtile.jpg,swatch,lipstick__chanel__rouge_allure_luminous_intense_lip_colour__211_subtile.jpg,44.79841208,48.16643397,27.12707492
lipstick__charlotte_tilbury__kissing_lipstick__red_carpet_pink.jpg,bullet_lipstick,lipstick__charlotte_tilbury__kissing_lipstick__red_carpet_pink.jpg,67.30589836,30.42391357,5.33050326
lipstick__charlotte_tilbury__limitless_lucky_lips__everlasting_blossom.jpg,bullet_lipstick,lipstick__charlotte_tilbury__limitless_lucky_lips__everlasting_blossom.jpg,40.37074432,40.66860503,22.47809562
lipstick__charlotte_tilbury__tinted_love__blushed_rose.jpg,swatch,lipstick__charlotte_tilbury__tinted_love__blushed_rose.jpg,59.21019069,28.84244782,19.65910717
lipstick__ciate_london__liquid_velvet_matte_liquid_lipstick__head_over_heels.jpg,liquid_lipstick,lipstick__ciate_london__liquid_velvet_matte_liquid_lipstick__head_over_heels.jpg,46.54623385,66.62354627,19.44662081
lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop.jpg,bullet_lipstick,lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop.jpg,37.61527602,48.36795,19.30575515
lipstick__code8_beauty__matte_velour_lipstick__lima.jpg,swatch,lipstick__code8_beauty__matte_velour_lipstick__lima.jpg,43.42473846,37.9308009,15.56706806
lipstick__colourpop__blur_lux_lipstick__still_crazy.jpg,swatch,lipstick__colourpop__blur_lux_lipstick__still_crazy.jpg,47.13622384,32.74073552,11.78660967
lipstick__colourpop__fresh_kiss_hydrating_lip_creme__makeout.jpg,liquid_lipstick,lipstick__colourpop__fresh_kiss_hydrating_lip_creme__makeout.jpg,54.31509338,31.02264399,23.33826952
lipstick__colourpop__lippie_stix__brink.jpg,swatch,lipstick__colourpop__lippie_stix__brink.jpg,54.99021589,36.5231242,21.68572983
lipstick__colourpop__lippie_stix__skywalking.jpg,swatch,lipstick__colourpop__lippie_stix__skywalking.jpg,36.99702843,51.76356751,22.29114446
lipstick__colourpop__lippie_stix__topanga.jpg,bullet_lipstick,lipstick__colourpop__lippie_stix__topanga.jpg,42.66350891,45.38648825,29.71935672
lipstick__colourpop__lippie_stix__who_run_this.jpg,bullet_lipstick,lipstick__colourpop__lippie_stix__who_run_this.jpg,32.98321935,41.0415316,23.36898315
lipstick__colourpop__lux_liquid_lip__genie.jpg,liquid_lipstick,lipstick__colourpop__lux_liquid_lip__genie.jpg,51.2578959,42.77986272,18.36889523
lipstick__covergirl__outlast_forever_velvet_pigment_matte_lipstick__25_zh9Kim4.jpg,liquid_lipstick,,,,
lipstick__covergirl__outlast_lipstain__05_all_star.jpg,bullet_lipstick,lipstick__covergirl__outlast_lipstain__05_all_star.jpg,28.71725292,46.99306789,15.22683694
lipstick__ctzn_cosmetics__code_red_lipstick__pula.jpg,swatch,lipstick__ctzn_cosmetics__code_red_lipstick__pula.jpg,32.65543112,36.2286352,22.73032093
lipstick__ctzn_cosmetics__nudiversal_lip_duo__capri.jpg,swatch,lipstick__ctzn_cosmetics__nudiversal_lip_duo__capri.jpg,67.50085565,21.87250898,23.00451788
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g104_felicia.jpg,swatch,lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g104_felicia.jpg,40.36043316,43.06858851,16.98250294
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g105_isabelle.jpg,swatch,lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g105_isabelle.jpg,67.10971893,37.39417156,13.63698481
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g108_hazle.jpg,swatch,lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g108_hazle.jpg,64.48050295,55.28925093,28.40496273
lipstick__dior__addict_lip_glow_balm__031_strawberry.jpg,bullet_lipstick,lipstick__dior__addict_lip_glow_balm__031_strawberry.jpg,48.99985394,66.56630654,43.62486622
lipstick__dior__addict_lip_glow_butter__103_toffee.jpg,swatch,lipstick__dior__addict_lip_glow_butter__103_toffee.jpg,42.04054772,29.83426724,21.99844859
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300__xCgenRC.jpg,liquid_lipstick,,,,
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__720__inQJSuu.jpg,liquid_lipstick,,,,
lipstick__dior__rouge_dior_forever_transferproof_lipstick__630_dune.jpg,bullet_lipstick,lipstick__dior__rouge_dior_forever_transferproof_lipstick__630_dune.jpg,56.18900182,25.33048083,22.35429527
lipstick__dior__rouge_dior_refillable_lipstick__582_miss_d.jpg,bullet_lipstick,lipstick__dior__rouge_dior_refillable_lipstick__582_miss_d.jpg,57.80782304,54.21692604,18.50426482
lipstick__dior__rouge_ultra_care_liquid_lipstick__749_dlight.jpg,liquid_lipstick,lipstick__dior__rouge_ultra_care_liquid_lipstick__749_dlight.jpg,40.67507927,28.87804439,6.63926556
lipstick__dior__rouge_ultra_care_liquid_lipstick__855_sensual.jpg,liquid_lipstick,lipstick__dior__rouge_ultra_care_liquid_lipstick__855_sensual.jpg,39.16942939,33.42795941,18.74054188
lipstick__dior__rouge_ultra_rouge_lipstick__0_ultra_light.jpg,bullet_lipstick,lipstick__dior__rouge_ultra_rouge_lipstick__0_ultra_light.jpg,91.90347356,2.42517206,-0.89372358
lipstick__elf_cosmetics__glossy_lip_stain__cinnamon_dreamz.jpg,liquid_lipstick,lipstick__elf_cosmetics__glossy_lip_stain__cinnamon_dreamz.jpg,41.18588911,21.20606873,28.94151875
lipstick__emilie_heathe__lip_atelier__public.jpg,swatch,lipstick__emilie_heathe__lip_atelier__public.jpg,34.82707458,46.3800683,41.98486716
lipstick__entice_cosmetics__lush_matte_liquid_lipstick__drape.jpg,other,lipstick__entice_cosmetics__lush_matte_liquid_lipstick__drape.jpg,55.79508712,14.35109118,17.70880279
lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refil_lIm6q5f.jpg,swatch,,,,
lipstick__fenty_beauty_by_rihanna__poutsicle_hydrating_lip_stain__berry_banger.jpg,swatch,lipstick__fenty_beauty_by_rihanna__poutsicle_hydrating_lip_stain__berry_banger.jpg,23.31826859,39.25759579,6.48290015
lipstick__freck_beauty__makeout_club_soft_blur_lipstick__the_moment.jpg,swatch,lipstick__freck_beauty__makeout_club_soft_blur_lipstick__the_moment.jpg,68.56063747,29.69484535,10.77888464
lipstick__gerard_cosmetics__lipstick__1995.jpg,swatch,lipstick__gerard_cosmetics__lipstick__1995.jpg,55.42710545,24.60514256,12.91193531
lipstick__givenchy__le_rose_perfecto_color_lip_balm__303_warming_red.jpg,bullet_lipstick,lipstick__givenchy__le_rose_perfecto_color_lip_balm__303_warming_red.jpg,31.3013631,53.29421139,38.18510892
lipstick__givenchy__le_rouge_lipstick__37_rouge_graine.jpg,bullet_lipstick,lipstick__givenchy__le_rouge_lipstick__37_rouge_graine.jpg,33.71133575,42.63449058,23.83928513
lipstick__givenchy__le_rouge_lipstick__102_beige_plume.jpg,bullet_lipstick,lipstick__givenchy__le_rouge_lipstick__102_beige_plume.jpg,58.25608514,35.52694686,22.32215276
lipstick__givenchy__le_rouge_lipstick__323_framboise_couture.jpg,bullet_lipstick,lipstick__givenchy__le_rouge_lipstick__323_framboise_couture.jpg,47.39649856,54.27095094,1.82099468
lipstick__gucci__rouge_a_levres_mat_matte_lipstick__they_met_in_argentina.jpg,swatch,lipstick__gucci__rouge_a_levres_mat_matte_lipstick__they_met_in_argentina.jpg,49.1897608,33.77531573,18.67609145
lipstick__gucci__rouge_a_levres_satin_lipstick__405_grand_hotel.jpg,bullet_lipstick,lipstick__gucci__rouge_a_levres_satin_lipstick__405_grand_hotel.jpg,32.14543522,50.31448677,10.61062668
lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black.jpg,bullet_lipstick,lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black.jpg,21.878189,-0.000788986402,0.00149554844
lipstick__honeybee_gardens__truly_natural_lipstick__south_beach.jpg,bullet_lipstick,lipstick__honeybee_gardens__truly_natural_lipstick__south_beach.jpg,57.32750864,60.70683864,40.14696384
lipstick__hourglass__phantom_volumizing_glossy_lip_balm__impulse_130.jpg,swatch,lipstick__hourglass__phantom_volumizing_glossy_lip_balm__impulse_130.jpg,28.03028383,34.92418551,20.68059827
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__game_changer.jpg,liquid_lipstick,lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__game_changer.jpg,44.86137261,43.90678869,23.0636404
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__shero.jpg,swatch,lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__shero.jpg,62.0042824,49.59146303,37.07065138
lipstick__huda_beauty__original_liquid_matte_lipstick__bombshell.jpg,swatch,lipstick__huda_beauty__original_liquid_matte_lipstick__bombshell.jpg,44.19275833,29.80174561,18.81328945
lipstick__huda_beauty__power_bullet_matte_lipstick__staycation.jpg,bullet_lipstick,lipstick__huda_beauty__power_bullet_matte_lipstick__staycation.jpg,61.85360862,21.69212761,21.33423984
lipstick__iconic_london__cloud_kiss_matte_lip_mousse__let_it_slip.jpg,swatch,lipstick__iconic_london__cloud_kiss_matte_lip_mousse__let_it_slip.jpg,47.41307399,33.25188297,27.20444874
lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir.jpg,swatch,lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir.jpg,40.61733748,26.2932842,10.45508101
lipstick__ilia__color_block_lipstick__tango.jpg,swatch,lipstick__ilia__color_block_lipstick__tango.jpg,28.71892346,43.17276453,22.5789459
lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__banquette.jpg,swatch,lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__banquette.jpg,49.08999715,31.55564737,15.34290533
lipstick__inika_organic__lipstick__nude_pink.jpg,bullet_lipstick,lipstick__inika_organic__lipstick__nude_pink.jpg,57.99826501,37.70102303,17.45602718
lipstick__jason_wu_beauty__honey_fluff_lip_cream__01_adored.jpg,swatch,lipstick__jason_wu_beauty__honey_fluff_lip_cream__01_adored.jpg,49.32080693,35.83644793,15.99862835
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__extraterrestrial.jpg,liquid_lipstick,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__extraterrestrial.jpg,26.5795267,-14.52607204,-4.34967463
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character.jpg,liquid_lipstick,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character.jpg,36.55105513,18.50478086,37.41630155
lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__drug_lord.jpg,liquid_lipstick,lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__drug_lord.jpg,83.77975196,2.0624899,1.57601247
lipstick__jones_road_beauty__the_lippie_stick__ruby.jpg,swatch,lipstick__jones_road_beauty__the_lippie_stick__ruby.jpg,43.2253547,46.06844478,20.70256219
lipstick__juice_beauty__phytopigments_liquid_lip__09_apple.jpg,other,lipstick__juice_beauty__phytopigments_liquid_lip__09_apple.jpg,43.97758999,56.87963273,22.69176638
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__04_dusty_orc_3YBSQxS.jpg,bullet_lipstick,,,,
lipstick__julep__its_whipped_matte_lip_mousse__03_whisper_mauve.jpg,liquid_lipstick,lipstick__julep__its_whipped_matte_lip_mousse__03_whisper_mauve.jpg,42.68937905,32.5995249,20.20434564
lipstick__kosas__weightless_lip_color_lipstick__thrillest.jpg,swatch,lipstick__kosas__weightless_lip_color_lipstick__thrillest.jpg,42.01012483,56.0070885,36.85172268
lipstick__kvd_beauty__everlasting_liquid_lipstick__dagger.jpg,liquid_lipstick,lipstick__kvd_beauty__everlasting_liquid_lipstick__dagger.jpg,37.2494436,8.00211015,-13.6596409
lipstick__kvd_beauty__everlasting_liquid_lipstick__witches.jpg,liquid_lipstick,lipstick__kvd_beauty__everlasting_liquid_lipstick__witches.jpg,15.061194,0.0185225738,-0.0042088389
lipstick__kylie_cosmetics__matte_lip_crayon__realizing_things.jpg,swatch,lipstick__kylie_cosmetics__matte_lip_crayon__realizing_things.jpg,50.24149277,40.58983189,15.4774988
lipstick__kylie_cosmetics__matte_lip_kit__no_sleep.jpg,bullet_lipstick,lipstick__kylie_cosmetics__matte_lip_kit__no_sleep.jpg,50.74836533,69.07451281,47.70650188
lipstick__la_bouche_rouge_paris__matte_lipstick__nude_brun_matte.jpg,swatch,lipstick__la_bouche_rouge_paris__matte_lipstick__nude_brun_matte.jpg,65.54751191,31.80543156,26.33525952
lipstick__lancome__labsolu_rouge_intimatte_lipstick__888_french_idol.jpg,bullet_lipstick,lipstick__lancome__labsolu_rouge_intimatte_lipstick__888_french_idol.jpg,25.64789572,40.93297694,17.55219988
lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__6zaHIPp.jpg,bullet_lipstick,,,,
lipstick__laura_mercier__petal_soft_lipstick_crayon__322_camille.jpg,swatch,lipstick__laura_mercier__petal_soft_lipstick_crayon__322_camille.jpg,60.40504904,48.72995516,20.28459325
lipstick__laura_mercier__petal_soft_lipstick_crayon__340_elodie.jpg,swatch,lipstick__laura_mercier__petal_soft_lipstick_crayon__340_elodie.jpg,47.83059366,44.58673486,16.06000493
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_c_EiGcChm.jpg,swatch,,,,
lipstick__lh_cosmetics__majestick__mellow_mauve.jpg,bullet_lipstick,lipstick__lh_cosmetics__majestick__mellow_mauve.jpg,54.55336367,28.18301418,21.99385919
lipstick__lime_crime__matte_velvetine_lipstick__beet_it.jpg,liquid_lipstick,lipstick__lime_crime__matte_velvetine_lipstick__beet_it.jpg,25.05316924,43.84257317,-1.06974214
lipstick__lime_crime__matte_velvetine_lipstick__new_americana.jpg,liquid_lipstick,lipstick__lime_crime__matte_velvetine_lipstick__new_americana.jpg,47.519849,65.90754239,49.15456083
lipstick__lime_crime__plushies_liquid_lipstick__sorbet.jpg,liquid_lipstick,lipstick__lime_crime__plushies_liquid_lipstick__sorbet.jpg,41.47046912,56.83454355,45.18469682
lipstick__lipstick_queen__lipdulgence_lip_mousse__sugar_plum.jpg,liquid_lipstick,lipstick__lipstick_queen__lipdulgence_lip_mousse__sugar_plum.jpg,33.92164913,45.3533533,9.59940922
lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy.jpg,swatch,lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy.jpg,51.29157021,32.23686351,17.6050262
lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_r_PSTmqe1.jpg,bullet_lipstick,,,,
lipstick__loreal__colour_riche_les_nus_intense_lipstick__nu_insouciant.jpg,bullet_lipstick,lipstick__loreal__colour_riche_les_nus_intense_lipstick__nu_insouciant.jpg,37.75385728,45.34598148,14.19016379
lipstick__loreal__colour_riche_satin_lipstick__divine_wine_762.jpg,bullet_lipstick,lipstick__loreal__colour_riche_satin_lipstick__divine_wine_762.jpg,33.07494504,34.02806273,13.75928385
lipstick__loreal__colour_riche_satin_lipstick__mauved_140.jpg,swatch,lipstick__loreal__colour_riche_satin_lipstick__mauved_140.jpg,61.1420425,34.56833668,7.80813524
lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops.jpg,swatch,lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops.jpg,72.07833382,32.31707451,58.55549989
lipstick__mac_cosmetics__locked_kiss_24hr_lipstick__posh.jpg,swatch,lipstick__mac_cosmetics__locked_kiss_24hr_lipstick__posh.jpg,37.35488665,24.28324806,22.29372423
lipstick__mac_cosmetics__macximal_silky_matte_lipstick__viva_empowered.jpg,swatch,lipstick__mac_cosmetics__macximal_silky_matte_lipstick__viva_empowered.jpg,35.3177428,31.07145226,13.87634112
lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__call_it_cozy.jpg,swatch,lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__call_it_cozy.jpg,56.37840934,27.14526519,37.96550799
lipstick__mac_cosmetics__matte_lipstick__act_natural.jpg,bullet_lipstick,lipstick__mac_cosmetics__matte_lipstick__act_natural.jpg,63.68358297,20.76625052,15.31269574
lipstick__mac_cosmetics__matte_lipstick__taupe.jpg,swatch,lipstick__mac_cosmetics__matte_lipstick__taupe.jpg,42.82698339,29.58735091,27.83225886
lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__impulsive.jpg,swatch,lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__impulsive.jpg,49.38276095,35.80760146,32.41622211
lipstick__make_up_for_ever__rouge_artist_lipstick__104_bold_cinnamon.jpg,bullet_lipstick,lipstick__make_up_for_ever__rouge_artist_lipstick__104_bold_cinnamon.jpg,51.35003055,27.59036571,22.23963502
lipstick__makeup_by_mario__ultra_suede_lipstick__kristen.jpg,swatch,lipstick__makeup_by_mario__ultra_suede_lipstick__kristen.jpg,37.48235331,32.40880246,3.02736381
lipstick__marie_hunter__lustrous_lipstick__ogden_avenue.jpg,bullet_lipstick,lipstick__marie_hunter__lustrous_lipstick__ogden_avenue.jpg,47.88206266,50.98725394,33.35388542
lipstick__maybelline__superstay_matte_ink_lip_color__dancer.jpg,liquid_lipstick,lipstick__maybelline__superstay_matte_ink_lip_color__dancer.jpg,41.11325652,65.68551796,54.36554259
lipstick__maybelline__superstay_matte_ink_lip_color__meditator.jpg,liquid_lipstick,lipstick__maybelline__superstay_matte_ink_lip_color__meditator.jpg,58.36593364,38.98207446,27.37002888
lipstick__melt_cosmetics__lipstick__space_cake.jpg,bullet_lipstick,lipstick__melt_cosmetics__lipstick__space_cake.jpg,40.52416293,1.12131079,-11.9038402
lipstick__melt_cosmetics__lipstick__tomboy.jpg,bullet_lipstick,lipstick__melt_cosmetics__lipstick__tomboy.jpg,25.86952664,2.61492506,9.8051551
lipstick__melt_cosmetics__liquid_lipstick__death_cherry.jpg,liquid_lipstick,lipstick__melt_cosmetics__liquid_lipstick__death_cherry.jpg,30.5778933,44.18177955,19.34286276
lipstick__melt_cosmetics__liquid_lipstick__fuse.jpg,liquid_lipstick,lipstick__melt_cosmetics__liquid_lipstick__fuse.jpg,50.28714819,32.84652391,10.58576354
lipstick__melt_cosmetics__ultra_matte_lipstick__710.jpg,bullet_lipstick,lipstick__melt_cosmetics__ultra_matte_lipstick__710.jpg,43.42468651,30.29563759,31.4518653
lipstick__melt_cosmetics__ultra_matte_lipstick__bane.jpg,bullet_lipstick,lipstick__melt_cosmetics__ultra_matte_lipstick__bane.jpg,9.17846561,0.65063501,-0.17473421
lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian.jpg,swatch,lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian.jpg,36.62956555,28.01626599,20.58748531
lipstick__milani__amore_satin_matte_lip_creme__velvet.jpg,swatch,lipstick__milani__amore_satin_matte_lip_creme__velvet.jpg,43.57105973,38.14898566,32.49937914
lipstick__milani__stay_put_matte_lip_crayon__190_v_cute.jpg,bullet_lipstick,lipstick__milani__stay_put_matte_lip_crayon__190_v_cute.jpg,36.29021186,49.84431562,7.44532117
lipstick__mob_beauty__soft_matte_lipstick__m94.jpg,swatch,lipstick__mob_beauty__soft_matte_lipstick__m94.jpg,55.74165706,29.59086519,18.82666903
lipstick__morphe__cream_lipstick__rebound.jpg,swatch,lipstick__morphe__cream_lipstick__rebound.jpg,49.43373583,40.91572609,10.65022939
lipstick__morphe__love_bite_lip_stain__melon_nectar.jpg,liquid_lipstick,lipstick__morphe__love_bite_lip_stain__melon_nectar.jpg,59.10952665,66.43219927,50.24475097
lipstick__morphe__matte_liquid_lipstick__peanut.jpg,swatch,lipstick__morphe__matte_liquid_lipstick__peanut.jpg,52.54914286,42.26531188,30.45872799
lipstick__nars__afterglow_lip_balm__wicked_ways.jpg,bullet_lipstick,lipstick__nars__afterglow_lip_balm__wicked_ways.jpg,23.31279121,20.97686996,3.34604459
lipstick__nars__audacious_lipstick__greta.jpg,swatch,lipstick__nars__audacious_lipstick__greta.jpg,47.30359406,70.48848122,18.42224749
lipstick__nars__audacious_lipstick__lea.jpg,bullet_lipstick,lipstick__nars__audacious_lipstick__lea.jpg,35.12668385,39.2876238,27.45267553
lipstick__nars__audacious_lipstick__vera.jpg,swatch,lipstick__nars__audacious_lipstick__vera.jpg,34.08344051,57.03869811,13.49091827
lipstick__nars__explicit_refillable_satin_lipstick__821_liason.jpg,swatch,lipstick__nars__explicit_refillable_satin_lipstick__821_liason.jpg,54.14345457,37.89158928,18.82428957
lipstick__nars__full_vinyl_lip_lacquer__cape_town.jpg,liquid_lipstick,lipstick__nars__full_vinyl_lip_lacquer__cape_town.jpg,62.12186492,29.35739168,33.21519385
lipstick__nars__lipstick__exbury.jpg,bullet_lipstick,lipstick__nars__lipstick__exbury.jpg,57.26963282,43.65503232,15.35094105
lipstick__nars__lipstick__giusti.jpg,bullet_lipstick,lipstick__nars__lipstick__giusti.jpg,47.73393118,43.73079501,6.73360645
lipstick__nars__lipstick__pour_toujours.jpg,swatch,lipstick__nars__lipstick__pour_toujours.jpg,58.37565304,22.737612,15.85331448
lipstick__nars__powermatte_lip_pigment__low_rider.jpg,swatch,lipstick__nars__powermatte_lip_pigment__low_rider.jpg,58.12193359,71.24882563,19.11824325
lipstick__nars__powermatte_lip_pigment__somebody_to_love.jpg,swatch,lipstick__nars__powermatte_lip_pigment__somebody_to_love.jpg,47.87503349,31.62790717,26.6376825
lipstick__nars__powermatte_lip_pigment__walk_this_way.jpg,swatch,lipstick__nars__powermatte_lip_pigment__walk_this_way.jpg,53.17941221,46.78124801,18.02153451
lipstick__nars__soft_matte_tinted_lip_balm__intimate.jpg,swatch,lipstick__nars__soft_matte_tinted_lip_balm__intimate.jpg,52.04127,23.82959777,25.78123088
lipstick__natasha_denona__i_need_a_nude_lipstick__31np_beatrice.jpg,bullet_lipstick,lipstick__natasha_denona__i_need_a_nude_lipstick__31np_beatrice.jpg,64.8306405,19.31851959,8.28444335
lipstick__nudestix__intense_matte_lip_cheek_pencil__vintage.jpg,swatch,lipstick__nudestix__intense_matte_lip_cheek_pencil__vintage.jpg,34.7935925,29.51235323,14.97714139
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__pebq6cL.jpg,swatch,,,,
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__obWfK4R.jpg,swatch,,,,
lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__2q4611j.jpg,swatch,,,,
lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lip_eBVdeme.jpg,swatch,,,,
