img_name,img_path,pred_label,clf_confidence,seg_uncertainty
lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_rosewood_ambition.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_rosewood_ambition.jpg,bullet,0.922,0.5226
lipstick__covergirl__outlast_forever_velvet_pigment_matte_lipstick__250_velvet_waves.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__covergirl__outlast_forever_velvet_pigment_matte_lipstick__250_velvet_waves.jpg,liquid,0.993,0.5212
lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy.jpg,bullet,0.977,0.5153
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300_forever_nude_style.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300_forever_nude_style.jpg,liquid,0.991,0.5144
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__720_forever_icone.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__720_forever_icone.jpg,liquid,0.996,0.5137
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__102_milky_blueberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__102_milky_blueberry.jpg,closed,0.998,0.5008
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,closed,0.991,0.5
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__13_going_live.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__13_going_live.jpg,closed,0.986,0.4988
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,closed,0.998,0.4986
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,closed,0.998,0.4985
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,closed,0.998,0.4984
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,closed,0.997,0.4981
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,closed,0.997,0.4981
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,closed,0.998,0.4978
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__43_sensual_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__43_sensual_rose.jpg,closed,0.997,0.4974
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,closed,0.997,0.4974
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,closed,0.996,0.4974
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,closed,0.995,0.4971
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,closed,0.997,0.4968
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,closed,0.995,0.4967
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,closed,0.997,0.4957
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,closed,0.995,0.4947
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,closed,0.994,0.4941
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,closed,0.994,0.4941
lipstick__pat_mcgrath_labs__liquilust_legendary_wear_matte_lipstick__nude_venus.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__pat_mcgrath_labs__liquilust_legendary_wear_matte_lipstick__nude_venus.jpg,swatch,0.991,0.4164
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_cream_lipstick__minx.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_cream_lipstick__minx.jpg,swatch,0.99,0.3907
lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refillable_lipstick__grill_mastr.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refillable_lipstick__grill_mastr.jpg,swatch,0.995,0.3872
lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lipstick__bedtime_flirt.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lipstick__bedtime_flirt.jpg,swatch,0.988,0.3853
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__12_trending_topic.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__12_trending_topic.jpg,swatch,0.996,0.3827
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__06_hits_different.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__06_hits_different.jpg,swatch,0.999,0.3802
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__190r_walk_on_the_wild_side.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__190r_walk_on_the_wild_side.jpg,swatch,0.876,0.366
lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible.jpg,swatch,0.988,0.3651
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__409a_copper_couture.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__409a_copper_couture.jpg,swatch,0.919,0.3607
lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__seduction.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__seduction.jpg,swatch,0.989,0.3422
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__107a_ode_to_naural.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__107a_ode_to_naural.jpg,swatch,0.976,0.3397
lipstick__nyx_professional_makeup__smooth_whip_blurring_matte_lip_cream__18_onesie_funsie.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__smooth_whip_blurring_matte_lip_cream__18_onesie_funsie.jpg,swatch,0.998,0.3258
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__172_light_mauve.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__172_light_mauve.jpg,swatch,0.991,0.3052
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__40_light_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__40_light_rose.jpg,swatch,0.988,0.3013
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__104_bright_raspberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__104_bright_raspberry.jpg,swatch,0.994,0.2808
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__59_shocking_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__59_shocking_pink.jpg,swatch,0.991,0.2781
