category,joined,brand,product,shade,shade_description_original,parent_color,img_url
lipstick,nars soft matte tinted lip balm intimate,nars,soft matte tinted lip balm,intimate,beige nude,beige nude,https://media.ulta.com/i/ulta/2603312_sm?w=1080&h=1080&fmt=auto
lipstick,natasha denona i need a nude lipstick 31np beatrice,natasha denona,i need a nude lipstick,31np beatrice,light warm rose,rose,https://www.sephora.com/productimages/sku/s2243293-main-zoom.jpg?imwidth=1000
lipstick,nyx professional makeup fat oil slick click vegan lip balm 06 hits different,nyx professional makeup,fat oil slick click vegan lip balm,06 hits different,clear with bronze pearl,clear,https://media.ulta.com/i/ulta/2617426_sm?w=1080&h=1080&fmt=auto
lipstick,nyx professional makeup fat oil slick click vegan lip balm 12 trending topic,nyx professional makeup,fat oil slick click vegan lip balm,12 trending topic,cosmic charcol,charcol,https://media.ulta.com/i/ulta/2617432_sm?w=1080&h=1080&fmt=auto
lipstick,nyx professional makeup fat oil slick click vegan lip balm 13 going live,nyx professional makeup,fat oil slick click vegan lip balm,13 going live,clear,clear,https://media.ulta.com/i/ulta/2637787?w=1080&h=1080&fmt=auto
lipstick,nyx professional makeup lip lingerie matte liquid lipstick seduction,nyx professional makeup,lip lingerie matte liquid lipstick,seduction,red orange,red orange,https://m.media-amazon.com/images/I/51sWRxYw5CS._SX679_.jpg
lipstick,nyx professional makeup liquid suede cream lipstick downtown beauty,nyx professional makeup,liquid suede cream lipstick,downtown beauty,walnut brown,walnut brown,"https://images.ulta.com/is/image/Ulta/2304652?id=5Rmao3&fmt=jpg&fit=constrain,1&wid=142&hei=359&op_sharpen=1&resMode=bilin"
lipstick,nyx professional makeup matte lipstick alabama,nyx professional makeup,matte lipstick,alabama,brick red,brick red,"https://images.ulta.com/is/image/Ulta/2242458?id=u9SaR3&fmt=jpg&fit=constrain,1&wid=84&hei=359&op_sharpen=1&resMode=bilin"
lipstick,nyx professional makeup shout loud satin lipstick everyone lies,nyx professional makeup,shout loud satin lipstick,everyone lies,deep wine red,wine red,"https://images.ulta.com/is/image/Ulta/2557291?id=3BHa-2&fmt=jpg&fit=constrain,1&wid=177&hei=360&op_sharpen=1&resMode=bilin"
lipstick,nyx professional makeup smooth whip blurring matte lip cream 18 onesie funsie,nyx professional makeup,smooth whip blurring matte lip cream,18 onesie funsie,warm mauve,mauve,https://media.ulta.com/i/ulta/2601283_sm?w=1080&h=1080&fmt=auto
lipstick,nyx professional makeup smushy matte lip balm soft smile,nyx professional makeup,smushy matte lip balm,soft smile,soft nude,nude,https://media.ulta.com/i/ulta/2640704_sm?w=1080&h=1080&fmt=auto
lipstick,ofra cosmetics flexi slick lip creme buzz,ofra cosmetics,flexi slick lip creme,buzz,muted coral w/ gold flecks,coral,"https://images.ulta.com/is/image/Ulta/2546858?id=FI8b40&fmt=jpg&fit=constrain,1&wid=226&hei=360&op_sharpen=1&resMode=bilin"
lipstick,ofra cosmetics long lasting liquid lipstick pasadena,ofra cosmetics,long lasting liquid lipstick,pasadena,mauve pink brown,mauve pink brown,https://media.ulta.com/i/ulta/2620103_sm?w=1080&h=1080&fmt=auto
lipstick,pat mcgrath labs mattetrance lipstick divine brown,pat mcgrath labs,mattetrance lipstick,divine brown,dark chocolate,chocolate,https://www.patmcgrath.com/cdn/shop/products/PMG_MATTETRANCE_WHITE_CAPOFF_DIVINEBROWN_6cde5a52-b620-4acd-a665-f6b3d3d9f508.jpg?v=1680274872&width=1100
lipstick,persona season one matte liquid lipstick og,persona,season one matte liquid lipstick,og,classic matte nude,nude,"https://images.ulta.com/is/image/Ulta/2536171?id=uY_al3&fmt=jpg&fit=constrain,1&wid=158&hei=361&op_sharpen=1&resMode=bilin"
lipstick,queen musia skincare supercharged tinted hydrabalm noble vine,queen musia,skincare supercharged tinted hydrabalm,noble vine,burnt french grape,grape,https://queenmusia.com/cdn/shop/files/skincare-supercharged-tinted-hydrabalm-766557_2048x2048.jpg?v=1734419254
lipstick,ravie beauty effortless lips peony,ravie beauty,effortless lips,peony,petal pink,pink,https://ravie.com/cdn/shop/files/Ravie-Beauty-Effortless-Lips-Peony-Swatch.jpg?v=1720827611&width=1000
lipstick,revlon super lustrous lipstick 463 sassy mauve,revlon,super lustrous lipstick,463 sassy mauve,creamy deep pink-purple,pink purple,https://media.ulta.com/i/ulta/2105017_sm?w=1080&h=1080&fmt=auto
lipstick,revlon super lustrous lipstick 725 love that red,revlon,super lustrous lipstick,725 love that red,creamy watermelon red,watermelon red,https://m.media-amazon.com/images/I/71V9J8qF0GL._SX679_.jpg
lipstick,revlon super lustrous lipstick 812 porto please,revlon,super lustrous lipstick,812 porto please,berry pearl,berry,https://media.ulta.com/i/ulta/2618911_sm?w=1080&h=1080&fmt=auto
lipstick,revlon ultra hd lip mousse hyper matte blue oasis 835,revlon,ultra hd lip mousse hyper matte,blue oasis 835,gray-blue,gray blue,https://m.media-amazon.com/images/I/71XL4s8WvAL._SX679_.jpg
lipstick,revlon ultra hd lip mousse hyper matte death valley 830,revlon,ultra hd lip mousse hyper matte,death valley 830,dusty pink-purple,pink purple,"https://images.ulta.com/is/image/Ulta/2535095?id=wyfa00&fmt=jpg&fit=constrain,1&wid=86&hei=358&op_sharpen=1&resMode=bilin"
lipstick,revolution pro supreme matte lip pigment psychedelic,revolution pro,supreme matte lip pigment,psychedelic,bright white,white,https://m.media-amazon.com/images/I/71ve3Za+jYL._SX679_.jpg
lipstick,rms beauty tinted daily lip balm passion lane,rms beauty,tinted daily lip balm,passion lane,elegant pink with a hint of shimmer,pink,https://media.ulta.com/i/ulta/2632294_sm?w=1080&h=1080&fmt=auto
lipstick,rms beauty tinted daily lip balm penny lane,rms beauty,tinted daily lip balm,penny lane,neutral caramel brown tint,caramel brown,https://media.ulta.com/i/ulta/2632296_sm?w=1080&h=1080&fmt=auto
lipstick,rokael beauty refined gold velvet lip creme destined,rokael beauty,refined gold velvet lip creme,destined,coral peach with golden undertones,golden coral peach,https://rokaelbeauty.com/cdn/shop/files/Destined.png?v=1714010227&width=5000
lipstick,smashbox always on cream to matte lipstick caliente,smashbox,always on cream to matte lipstick,caliente,bright warm red,red,https://www.sephora.com/productimages/sku/s2304228-main-zoom.jpg?imwidth=1000
lipstick,soshe beauty ceramide refillable lip silk wine stained,soshe beauty,ceramide refillable lip silk,wine stained,cool cherry,cherry,https://credobeauty.com/cdn/shop/files/SOSHE_CeramideLipSilk_Swatch_02_Winestained_1426x.png?v=1705466994
lipstick,stila stay all day liquid lipstick firenze,stila,stay all day liquid lipstick,firenze,mauve pink,mauve pink,"https://images.ulta.com/is/image/Ulta/2538947?id=pGFar3&fmt=jpg&fit=constrain,1&wid=143&hei=360&op_sharpen=1&resMode=bilin"
lipstick,surratt beauty lipslique paramour,surratt beauty,lipslique,paramour,peachy coral,peach coral,https://cdn.shopify.com/s/files/1/0080/5113/0432/products/Surratt-Lipslique-Paramour-swatch-SB003_5f9923f4-88c1-419f-9e05-52fb322db356.jpg?v=1724882269
lipstick,tarte maracuja juicy lip vinyl cacao,tarte,maracuja juicy lip vinyl,cacao,brown,brown,https://media.ulta.com/i/ulta/2621930_sm?w=1080&h=1080&fmt=auto
lipstick,tarte tarteist creamy matte lip paint rave,tarte,tarteist creamy matte lip paint,rave,greige,greige,https://www.sephora.com/productimages/sku/s1851476-main-zoom.jpg?imwidth=1000
lipstick,tom ford extreme lip spark lipstick 23 alias,tom ford,extreme lip spark lipstick,23 alias,deep red with orange sheen,orange red,https://www.sephora.com/productimages/sku/s2393916-main-zoom.jpg?imwidth=1000
lipstick,ulta sheer lipstick red raven,ulta,sheer lipstick,red raven,sheer red,red,"https://images.ulta.com/is/image/Ulta/2537411?id=OGMac0&fmt=jpg&fit=constrain,1&wid=260&hei=351&op_sharpen=1&resMode=bilin"
lipstick,urban decay vice hydrating lipstick liar,urban decay,vice hydrating lipstick,liar,medium neutral nude,nude,https://media.ulta.com/i/ulta/2584525_sm?w=1080&h=1080&fmt=auto
lipstick,urban decay vice lipstick metallized asphyxia,urban decay,vice lipstick metallized,asphyxia,soft lavender w/ blue micro-glitter,lavender,"https://images.ulta.com/is/image/Ulta/2515806?id=WPxaE0&fmt=jpg&fit=constrain,1&wid=100&hei=359&op_sharpen=1&resMode=bilin"
lipstick,valentino rosso valentino high pigment refillable lipstick 107a ode to naural,valentino,rosso valentino high pigment refillable lipstick,107a ode to naural,mauve rose,mauve rose,https://www.sephora.com/productimages/sku/s2541894-av-25-zoom.jpg?imwidth=1224
lipstick,valentino rosso valentino high pigment refillable lipstick 190r walk on the wild side,valentino,rosso valentino high pigment refillable lipstick,190r walk on the wild side,warm nude,nude,https://www.sephora.com/productimages/sku/s2734390-av-2-zoom.jpg?imwidth=1224
lipstick,valentino rosso valentino high pigment refillable lipstick 409a copper couture,valentino,rosso valentino high pigment refillable lipstick,409a copper couture,burnt orange,orange,https://www.sephora.com/productimages/sku/s2541852-av-25-zoom.jpg?imwidth=1224
lipstick,valentino spike valentino buttery matte lip color 605r lilac rain,valentino,spike valentino buttery matte lip color,605r lilac rain,iridescent lavender shimmer,lavender,https://www.sephora.com/productimages/sku/s2849826-main-zoom.jpg?imwidth=630
lipstick,winky lux matte lip velour lipstick dirty love,winky lux,matte lip velour lipstick,dirty love,burnt orange,orange,https://winkylux.com/cdn/shop/files/Dirty-Love-Lip-Liner-Swatch_2_3eb467d4-d9a7-417a-9527-757ab1fbd55a.jpg?v=1714395949
lipstick,wyn beauty no words needed lip serum engage,wyn beauty,no words needed lip serum,engage,translucent pink,pink,https://media.ulta.com/i/ulta/2622642?w=1080&h=1080&fmt=auto
lipstick,xx revolution xxude satin liquid lipstick nostalgia,xx revolution,xxude satin liquid lipstick,nostalgia,light mauve (blue undertone),blue mauve,https://www.revolutionbeauty.com/dw/image/v2/BCZJ_PRD/on/demandware.static/-/Sites-revbe-master-catalog/default/dw69c1f2f5/images/hi-res/1264747_2.jpg?sw=660&sh=660&sm=fit&strip=false
lipstick,yves saint laurent rouge pur couture the bold high pigment lipstick 14 nude tribute,yves saint laurent,rouge pur couture the bold high pigment lipstick,14 nude tribute,warm red,red,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/12859310_fpx.tif?op_sharpen=1&wid=700&fit=fit,1&fmt=webp"
lipstick,yves saint laurent rouge volupte shine lipstick balm 52 trapeze pink,yves saint laurent,rouge volupte shine lipstick balm,52 trapeze pink,pure pink,pink,https://www.yslbeauty.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dwb46a8ecb/square/Makeup/RVS/3614271280343_52_rouge-volupte-shine_Alt1.jpg?sw=720&sh=720&sm=cut&sfrm=jpg&q=85
lipstick,yves saint laurent the inks vinyl cream high shine lip stain 622 plum liberation,yves saint laurent,the inks vinyl cream high shine lip stain,622 plum liberation,dark plum pink,plum pink,https://www.sephora.com/productimages/sku/s2789543-main-zoom.jpg?imwidth=612
lipstick,yves saint laurent the slim glow matte lipstick 213 no taboo chili,yves saint laurent,the slim glow matte lipstick,213 no taboo chili,warm chili nude,chili nude,https://www.sephora.com/productimages/sku/s2388973-main-zoom.jpg?imwidth=1000
lipstick,yves saint laurent ysl loveshine lip oil stick 150 nude lingerie,yves saint laurent,ysl loveshine lip oil stick,150 nude lingerie,warm nude pink,nude pink,https://www.sephora.com/productimages/sku/s2751329-main-zoom.jpg?imwidth=612
