id,img_name,color_group,parent_color,strategy
lipstick__benefit_cosmetics__splashtint_moisturizing_dewy_lip_tint__03_fresh_squeezed,lipstick__benefit_cosmetics__splashtint_moisturizing_dewy_lip_tint__03_fresh_squeezed.jpg,berry_plum,grapefruit pink,color_coverage
lipstick__becca_cosmetics__ultimate_lipstick_love__hibiscus_c,lipstick__becca_cosmetics__ultimate_lipstick_love__hibiscus_c.jpg,berry_plum,plum,color_coverage
lipstick__hourglass__confession_ultra_slim_high_intensity_refillable_lipstick__when_im_alone,lipstick__hourglass__confession_ultra_slim_high_intensity_refillable_lipstick__when_im_alone.jpg,berry_plum,berry,color_coverage
lipstick__tom_ford__satin_matte_lip_color__1_crush,lipstick__tom_ford__satin_matte_lip_color__1_crush.jpg,berry_plum,raspberry pink,color_coverage
lipstick__reina_rebelde__bold_lip_color_stick__fresa,lipstick__reina_rebelde__bold_lip_color_stick__fresa.jpg,berry_plum,berry red,color_coverage
lipstick__aboutface__paintit_matte_lip_color__night_sight,lipstick__aboutface__paintit_matte_lip_color__night_sight.jpg,black,black,color_coverage
lipstick__marc_jacobs_beauty__le_marc_liquid_lip_crayon__blacquer,lipstick__marc_jacobs_beauty__le_marc_liquid_lip_crayon__blacquer.jpg,black,black,color_coverage
lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black,lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black.jpg,black,black,color_coverage
lipstick__beauty_bakerie__matte_lip_whip__midnight_truffles,lipstick__beauty_bakerie__matte_lip_whip__midnight_truffles.jpg,black,black,color_coverage
lipstick__melt_cosmetics__ultra_matte_lipstick__bane,lipstick__melt_cosmetics__ultra_matte_lipstick__bane.jpg,black,black,color_coverage
lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem,lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem.jpg,blue_green,teal,color_coverage
lipstick__melt_cosmetics__lipstick__mota,lipstick__melt_cosmetics__lipstick__mota.jpg,blue_green,teal,color_coverage
lipstick__kaleidos__cloud_lab_lip_clay__de02_agave,lipstick__kaleidos__cloud_lab_lip_clay__de02_agave.png,blue_green,teal green,color_coverage
lipstick__anastasia_beverly_hills__matte_lipstick__resin,lipstick__anastasia_beverly_hills__matte_lipstick__resin.jpg,blue_green,topaz,color_coverage
lipstick__melt_cosmetics__liquid_lipstick__circuit,lipstick__melt_cosmetics__liquid_lipstick__circuit.jpg,blue_green,blue,color_coverage
lipstick__urban_decay__vice_lipstick_metallized__amulet,lipstick__urban_decay__vice_lipstick_metallized__amulet.jpg,brick,brick rose,color_coverage
lipstick__lime_crime__matte_velvetine_lipstick__pumpkin,lipstick__lime_crime__matte_velvetine_lipstick__pumpkin.jpg,brick,brick red,color_coverage
lipstick__pat_mcgrath_labs__mattetrance_lipstick__rouge_8,lipstick__pat_mcgrath_labs__mattetrance_lipstick__rouge_8.jpg,brick,brick red,color_coverage
lipstick__colourpop__just_a_tint_lip_tint__cutie_fruity,lipstick__colourpop__just_a_tint_lip_tint__cutie_fruity.jpg,brick,brick red,color_coverage
lipstick__dior__rouge_ultra_rouge_lipstick__436_ultra_trouble,lipstick__dior__rouge_ultra_rouge_lipstick__436_ultra_trouble.jpg,brick,brick orange,color_coverage
lipstick__colour_lit__liquid_matte_lipstick__goals,lipstick__colour_lit__liquid_matte_lipstick__goals.jpg,brown,golden beige brown,color_coverage
lipstick__phytosurgence__calm_conditions_lip_balm__warm_waves,lipstick__phytosurgence__calm_conditions_lip_balm__warm_waves.jpg,brown,cinnamon,color_coverage
lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo,lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo.jpg,brown,brown red,color_coverage
lipstick__kvd_beauty__everlasting_liquid_lipstick__ludwig,lipstick__kvd_beauty__everlasting_liquid_lipstick__ludwig.jpg,brown,taupe,color_coverage
lipstick__urban_decay__vice_hydrating_lipstick__horchata,lipstick__urban_decay__vice_hydrating_lipstick__horchata.jpg,brown,brown,color_coverage
lipstick__meloway__hirise_hydrating_matte_lipstick__dark_rum_hurricane,lipstick__meloway__hirise_hydrating_matte_lipstick__dark_rum_hurricane.jpg,brown,brown red,color_coverage
lipstick__bellapierre_cosmetics__matte_lipstick__incognito,lipstick__bellapierre_cosmetics__matte_lipstick__incognito.jpg,brown,caramel nude,color_coverage
lipstick__nars__powermatte_longlasting_lipstick__too_hot_to_hold_133,lipstick__nars__powermatte_longlasting_lipstick__too_hot_to_hold_133.jpg,brown,maple red,color_coverage
lipstick__bodyography__lip_lava_liquid_lipstick__naked,lipstick__bodyography__lip_lava_liquid_lipstick__naked.jpg,brown,brown nude,color_coverage
lipstick__tom_ford__lip_color_lipstick__n3_west_coast,lipstick__tom_ford__lip_color_lipstick__n3_west_coast.jpg,brown,cinnamon,color_coverage
lipstick__lime_crime__matte_velvetine_lipstick__cashmere,lipstick__lime_crime__matte_velvetine_lipstick__cashmere.jpg,brown,greige,color_coverage
lipstick__chanel__rouge_allure_luminous_intense_lip_colour__212_caractere,lipstick__chanel__rouge_allure_luminous_intense_lip_colour__212_caractere.jpg,brown,chestnut brown,color_coverage
lipstick__melt_cosmetics__liquid_lipstick__ebony,lipstick__melt_cosmetics__liquid_lipstick__ebony.jpg,brown,espresso,color_coverage
lipstick__buxom__full_force_plumping_lipstick__boss,lipstick__buxom__full_force_plumping_lipstick__boss.png,brown,cinnamon,color_coverage
lipstick__fenty_beauty_by_rihanna__fenty_icon_velvet_liquid_lipstick__powr_thirsty,lipstick__fenty_beauty_by_rihanna__fenty_icon_velvet_liquid_lipstick__powr_thirsty.jpg,brown,caramel nude,color_coverage
lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian,lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian.jpg,brown,brown,color_coverage
lipstick__hourglass__unlocked_satin_creme_lipstick__sahara_310,lipstick__hourglass__unlocked_satin_creme_lipstick__sahara_310.jpg,brown,sienna,color_coverage
lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__celebrity_skin,lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__celebrity_skin.jpg,brown,nude brown,color_coverage
lipstick__yves_saint_laurent__ysl_x_zoe_kravitz_rouge_pur_couture_satin_lipstick__143_london_sky,lipstick__yves_saint_laurent__ysl_x_zoe_kravitz_rouge_pur_couture_satin_lipstick__143_london_sky.jpg,brown,brown red,color_coverage
lipstick__makeup_by_mario__ultra_suede_lipstick__fanda,lipstick__makeup_by_mario__ultra_suede_lipstick__fanda.jpg,brown,pink brown,color_coverage
lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffle_brownie,lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffle_brownie.jpg,brown,brown,color_coverage
lipstick__fenty_beauty_by_rihanna__fenty_icon_velvet_liquid_lipstick__truth_fairy,lipstick__fenty_beauty_by_rihanna__fenty_icon_velvet_liquid_lipstick__truth_fairy.jpg,brown,pink taupe nude,color_coverage
lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel,lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel.jpg,brown,caramel,color_coverage
lipstick__estee_lauder__pure_color_whipped_matte_liquid_lip__927_hot_fuse,lipstick__estee_lauder__pure_color_whipped_matte_liquid_lip__927_hot_fuse.jpg,coral,pink coral,color_coverage
lipstick__tom_ford__satin_matte_lip_color__peche_perfect,lipstick__tom_ford__satin_matte_lip_color__peche_perfect.jpg,coral,coral,color_coverage
lipstick__charlotte_tilbury__kissing_lipstick__island_dream,lipstick__charlotte_tilbury__kissing_lipstick__island_dream.png,coral,coral,color_coverage
lipstick__milani__bold_color_statement_matte_lipstick__13_i_am_happy,lipstick__milani__bold_color_statement_matte_lipstick__13_i_am_happy.jpg,coral,coral,color_coverage
lipstick__laura_mercier__petal_soft_lipstick_crayon__320_amelie,lipstick__laura_mercier__petal_soft_lipstick_crayon__320_amelie.jpg,coral,coral pink,color_coverage
lipstick__kylie_cosmetics__matte_liquid_lipstick__baby_girl,lipstick__kylie_cosmetics__matte_liquid_lipstick__baby_girl.jpg,coral,coral,color_coverage
lipstick__queen_musia__skincare_supercharged_tinted_hydrabalm__desert_flower,lipstick__queen_musia__skincare_supercharged_tinted_hydrabalm__desert_flower.jpg,coral,coral nude,color_coverage
lipstick__inika_organic__tinted_lip_balm__cosmic,lipstick__inika_organic__tinted_lip_balm__cosmic.jpg,coral,coral,color_coverage
lipstick__au_naturale__eternity_sheer_lipstick__frose,lipstick__au_naturale__eternity_sheer_lipstick__frose.jpg,coral,coral,color_coverage
lipstick__bodyography__lipstick__glint,lipstick__bodyography__lipstick__glint.jpg,gold_bronze,gold,color_coverage
lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops,lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops.jpg,gold_bronze,yellow,color_coverage
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character.jpg,gold_bronze,gold,color_coverage
lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible,lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible.jpg,gold_bronze,bronze,color_coverage
lipstick__nars__full_vinyl_lip_lacquer__cape_town,lipstick__nars__full_vinyl_lip_lacquer__cape_town.jpg,gold_bronze,gold,color_coverage
lipstick__morphe__cream_lipstick__hey_sugar,lipstick__morphe__cream_lipstick__hey_sugar.jpg,mauve,mauve,color_coverage
lipstick__nars__audacious_lipstick__vanessa,lipstick__nars__audacious_lipstick__vanessa.jpg,mauve,mauve nude,color_coverage
lipstick__flower_beauty__perfect_pout_soft_matte_lip_color__punch,lipstick__flower_beauty__perfect_pout_soft_matte_lip_color__punch.jpg,mauve,mauve pink,color_coverage
lipstick__pretty_vulgar__my_lips_are_sealed_liquid_lipstick__artful_deception,lipstick__pretty_vulgar__my_lips_are_sealed_liquid_lipstick__artful_deception.jpg,mauve,gray mauve,color_coverage
lipstick__clarins__hydrating_peptide_plumping_lip_oil_balm__lychee,lipstick__clarins__hydrating_peptide_plumping_lip_oil_balm__lychee.jpg,mauve,rose mauve,color_coverage
lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__honesty,lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__honesty.jpg,mauve,mauve pink,color_coverage
lipstick__loreal__colour_riche_satin_lipstick__montmartre_129,lipstick__loreal__colour_riche_satin_lipstick__montmartre_129.jpg,mauve,mauve,color_coverage
lipstick__colourpop__lux_lipstick__still_crazy,lipstick__colourpop__lux_lipstick__still_crazy.jpg,mauve,mauve pink,color_coverage
lipstick__revlon__super_lustrous_lipstick__760_desert_escape,lipstick__revlon__super_lustrous_lipstick__760_desert_escape.jpg,mauve,mauve,color_coverage
lipstick__rare_beauty_by_selena_gomez__with_gratitude_dewy_lip_balm__empathy,lipstick__rare_beauty_by_selena_gomez__with_gratitude_dewy_lip_balm__empathy.png,mauve,rose mauve,color_coverage
lipstick__bossy_cosmetics__bullet_lipstick__focused,lipstick__bossy_cosmetics__bullet_lipstick__focused.jpg,mauve,pink mauve,color_coverage
lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir,lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir.jpg,mauve,mauve,color_coverage
lipstick__rms_beauty__wild_with_desire_lipstick__magic_hour,lipstick__rms_beauty__wild_with_desire_lipstick__magic_hour.jpg,mauve,mauve,color_coverage
lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__honeymoon,lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__honeymoon.jpg,mauve,mauve pink,color_coverage
lipstick__yves_saint_laurent__tatouage_couture_liquid_matte_lip_stain__39_outlandish_nude,lipstick__yves_saint_laurent__tatouage_couture_liquid_matte_lip_stain__39_outlandish_nude.jpg,nude_beige,beige nude,color_coverage
lipstick__dior__addict_refillable_shine_lipstick__100_nude_look,lipstick__dior__addict_refillable_shine_lipstick__100_nude_look.jpg,nude_beige,nude,color_coverage
lipstick__lano__tinted_lip_balm__perfect_nude,lipstick__lano__tinted_lip_balm__perfect_nude.jpg,nude_beige,nude,color_coverage
lipstick__bodyography__lipstick__sandy,lipstick__bodyography__lipstick__sandy.jpg,nude_beige,nude,color_coverage
lipstick__soshe_beauty__ceramide_refillable_lip_silk__pamper,lipstick__soshe_beauty__ceramide_refillable_lip_silk__pamper.jpg,nude_beige,beige,color_coverage
lipstick__nars__soft_matte_tinted_lip_balm__intimate,lipstick__nars__soft_matte_tinted_lip_balm__intimate.jpg,nude_beige,beige nude,color_coverage
lipstick__kkw_beauty__nude_creme_lipstick__nude_25,lipstick__kkw_beauty__nude_creme_lipstick__nude_25.jpg,nude_beige,honey nude,color_coverage
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__22_almond_nude,lipstick__julep__its_balm_creme_full_coverage_lip_crayon__22_almond_nude.jpg,nude_beige,nude,color_coverage
lipstick__kylie_cosmetics__matte_liquid_lipstick__hazel,lipstick__kylie_cosmetics__matte_liquid_lipstick__hazel.jpg,nude_beige,tan,color_coverage
lipstick__lancome__labsolu_rouge_intimatte_lipstick__210_unspoken_feelings,lipstick__lancome__labsolu_rouge_intimatte_lipstick__210_unspoken_feelings.jpg,nude_beige,beige,color_coverage
lipstick__yves_saint_laurent__rouge_pur_couture_caring_satin_lipstick_with_ceramides__85_nu_fatal,lipstick__yves_saint_laurent__rouge_pur_couture_caring_satin_lipstick_with_ceramides__85_nu_fatal.jpg,nude_beige,nude,color_coverage
lipstick__dior__addict_lip_glow_balm__039_warm_beige,lipstick__dior__addict_lip_glow_balm__039_warm_beige.jpg,nude_beige,beige,color_coverage
lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__introvert,lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__introvert.jpg,nude_beige,beige,color_coverage
lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__123_nude_transparent,lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__123_nude_transparent.jpg,nude_beige,beige nude,color_coverage
lipstick__mac_cosmetics__retro_matte_liquid_lipcolour__quite_the_standout,lipstick__mac_cosmetics__retro_matte_liquid_lipcolour__quite_the_standout.jpg,orange,orange red,color_coverage
lipstick__chanel__n1_de_chanel_lip_and_cheek_balm__7_vibrant_coral,lipstick__chanel__n1_de_chanel_lip_and_cheek_balm__7_vibrant_coral.jpg,orange,orange,color_coverage
lipstick__black_up__matte_liquid_lipcolor__2,lipstick__black_up__matte_liquid_lipcolor__2.jpg,orange,orange,color_coverage
lipstick__victoria_beckham_beauty__posh_lipstick__fire,lipstick__victoria_beckham_beauty__posh_lipstick__fire.jpg,orange,red orange,color_coverage
lipstick__colourpop__lippie_stix__ziggie,lipstick__colourpop__lippie_stix__ziggie.jpg,orange,terracotta,color_coverage
lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__marrakeshmere,lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__marrakeshmere.jpg,orange,orange brown,color_coverage
lipstick__dior__rouge_ultra_rouge_lipstick__777_ultra_star,lipstick__dior__rouge_ultra_rouge_lipstick__777_ultra_star.jpg,orange,orange red,color_coverage
lipstick__huda_beauty__liquid_matte_ultracomfort_transferproof_lipstick__slaytina,lipstick__huda_beauty__liquid_matte_ultracomfort_transferproof_lipstick__slaytina.jpg,orange,red orange,color_coverage
lipstick__lancome__labsolu_rouge_drama_matte_lipstick__196_french_touch,lipstick__lancome__labsolu_rouge_drama_matte_lipstick__196_french_touch.jpg,orange,orange red,color_coverage
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__hug_with_sunny,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__hug_with_sunny.jpg,orange,orange,color_coverage
lipstick__nars__audacious_lipstick__claudette,lipstick__nars__audacious_lipstick__claudette.jpg,orange,rust red,color_coverage
lipstick__chantecaille__lip_chic__carpathia,lipstick__chantecaille__lip_chic__carpathia.jpg,orange,apricot,color_coverage
lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy,lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy.jpg,other,heather,color_coverage
lipstick__nars__audacious_lipstick__greta,lipstick__nars__audacious_lipstick__greta.jpg,other,wild azalea,color_coverage
lipstick__buxom__full_force_plumping_lipstick__icon,lipstick__buxom__full_force_plumping_lipstick__icon.png,other,nectar,color_coverage
lipstick__melt_cosmetics__ultra_matte_lipstick__710,lipstick__melt_cosmetics__ultra_matte_lipstick__710.jpg,other,dijon mustard,color_coverage
lipstick__vasanti_cosmetics__matte_crush_lipstick_pencil__peachy_keen,lipstick__vasanti_cosmetics__matte_crush_lipstick_pencil__peachy_keen.jpg,peach,peach,color_coverage
lipstick__anastasia_beverly_hills__matte_lipstick__warm_taupe,lipstick__anastasia_beverly_hills__matte_lipstick__warm_taupe.jpg,peach,peach nude,color_coverage
lipstick__colourpop__blur_lux_lipstick__hottie,lipstick__colourpop__blur_lux_lipstick__hottie.jpg,peach,peach pink,color_coverage
lipstick__colourpop__just_a_tint_lip_tint__z_boys,lipstick__colourpop__just_a_tint_lip_tint__z_boys.jpg,peach,peach nude,color_coverage
lipstick__bobbi_brown__extra_lip_tint__bare_melon,lipstick__bobbi_brown__extra_lip_tint__bare_melon.jpg,peach,pink peach,color_coverage
lipstick__colourpop__lippie_stix__toasty,lipstick__colourpop__lippie_stix__toasty.jpg,peach,peach nude,color_coverage
lipstick__fitglow_beauty__lip_colour_serum__koi,lipstick__fitglow_beauty__lip_colour_serum__koi.jpg,peach,peach spice nude,color_coverage
lipstick__milani__color_fetish_balm_lipstick__110_lustful,lipstick__milani__color_fetish_balm_lipstick__110_lustful.jpg,peach,peach nude,color_coverage
lipstick__revlon__super_lustrous_lipstick__808_dirty_shirley,lipstick__revlon__super_lustrous_lipstick__808_dirty_shirley.jpg,peach,peach,color_coverage
lipstick__charlotte_tilbury__limitless_lucky_lips__spice_bloom,lipstick__charlotte_tilbury__limitless_lucky_lips__spice_bloom.jpg,peach,peach nude,color_coverage
lipstick__yves_saint_laurent__the_inks_blurring_matte_liquid_lip_stain__44_nude_lavalliere,lipstick__yves_saint_laurent__the_inks_blurring_matte_liquid_lip_stain__44_nude_lavalliere.jpg,pink,pink,color_coverage
lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy,lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy.jpg,pink,pink,color_coverage
lipstick__charlotte_tilbury__kissing_lipstick__chic_pink,lipstick__charlotte_tilbury__kissing_lipstick__chic_pink.png,pink,pink,color_coverage
lipstick__pley_beauty__lip_habit_hydrating_lip_tint__summer_watermelon,lipstick__pley_beauty__lip_habit_hydrating_lip_tint__summer_watermelon.jpg,pink,bubblegum pink,color_coverage
lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__be_about_it,lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__be_about_it.jpg,pink,pink,color_coverage
lipstick__laura_mercier__velour_extreme_matte_lipstick__bring_it,lipstick__laura_mercier__velour_extreme_matte_lipstick__bring_it.jpg,pink,blue pink,color_coverage
lipstick__pat_mcgrath_labs__blitztrance_lipstick__cyber_orchid,lipstick__pat_mcgrath_labs__blitztrance_lipstick__cyber_orchid.jpg,pink,pink,color_coverage
lipstick__givenchy__le_rouge_interdit_vinyl_color_enhancing_lipstick__06_rose_sulfureux,lipstick__givenchy__le_rouge_interdit_vinyl_color_enhancing_lipstick__06_rose_sulfureux.jpg,pink,pink,color_coverage
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_tinted_lip_balm__baby_doll,lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_tinted_lip_balm__baby_doll.jpg,pink,pink,color_coverage
lipstick__ulta__radiant_shine_lipstick__queen_bee,lipstick__ulta__radiant_shine_lipstick__queen_bee.jpg,pink,pink,color_coverage
lipstick__ulta__sheer_lipstick__pink_crush,lipstick__ulta__sheer_lipstick__pink_crush.jpg,pink,pink,color_coverage
lipstick__kulfi__heirloom_satin_lipstick__bangle_box,lipstick__kulfi__heirloom_satin_lipstick__bangle_box.jpg,pink,pink,color_coverage
lipstick__colourpop__lux_lipstick__weekend_trip,lipstick__colourpop__lux_lipstick__weekend_trip.jpg,pink,pink,color_coverage
lipstick__meloway__hirise_hydrating_matte_lipstick__blushin_bitch,lipstick__meloway__hirise_hydrating_matte_lipstick__blushin_bitch.jpg,pink,pink,color_coverage
lipstick__nyx_professional_makeup__shine_loud_vegan_high_shine_longlasting_liquid_lipstick__lead_everything,lipstick__nyx_professional_makeup__shine_loud_vegan_high_shine_longlasting_liquid_lipstick__lead_everything.jpg,pink,hot pink,color_coverage
lipstick__ciate_london__glitter_flip__valentine,lipstick__ciate_london__glitter_flip__valentine.jpg,pink,pink,color_coverage
lipstick__too_faced__melted_matte_liquid_lipstick__bottomless,lipstick__too_faced__melted_matte_liquid_lipstick__bottomless.jpg,pink,pink,color_coverage
lipstick__trestique__prime_shine_lip_crayon__shell_beach_sheer,lipstick__trestique__prime_shine_lip_crayon__shell_beach_sheer.jpg,pink,pink,color_coverage
lipstick__chanel__n1_de_chanel_lip_and_cheek_balm__4_wakeup_pink,lipstick__chanel__n1_de_chanel_lip_and_cheek_balm__4_wakeup_pink.jpg,pink,pink,color_coverage
lipstick__nars__soft_matte_tinted_lip_balm__unrestricted,lipstick__nars__soft_matte_tinted_lip_balm__unrestricted.jpg,pink_nude,pink nude,color_coverage
lipstick__huda_beauty__power_bullet_matte_lipstick__staycation,lipstick__huda_beauty__power_bullet_matte_lipstick__staycation.webp,pink_nude,pink beige,color_coverage
lipstick__pat_mcgrath_labs__satinallure_lipstick__divine_rose,lipstick__pat_mcgrath_labs__satinallure_lipstick__divine_rose.jpg,pink_nude,blush pink,color_coverage
lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__grace,lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__grace.webp,pink_nude,nude pink,color_coverage
lipstick__givenchy__le_rouge_interdit_vinyl_color_enhancing_lipstick__03_rose_mutin,lipstick__givenchy__le_rouge_interdit_vinyl_color_enhancing_lipstick__03_rose_mutin.jpg,pink_nude,nude pink,color_coverage
lipstick__nars__audacious_lipstick__julie,lipstick__nars__audacious_lipstick__julie.jpg,pink_nude,nude pink,color_coverage
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__114r_love_getaway,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__114r_love_getaway.jpg,pink_nude,pink nude,color_coverage
lipstick__makeup_by_mario__ultra_suede_lipstick__erin,lipstick__makeup_by_mario__ultra_suede_lipstick__erin.jpg,pink_nude,pink nude,color_coverage
lipstick__maybelline__color_sensational_ultimatte_slim_lipstick__more_buff_699,lipstick__maybelline__color_sensational_ultimatte_slim_lipstick__more_buff_699.jpg,pink_nude,yellow pink nude,color_coverage
lipstick__hourglass__girl_lip_stylo__creator,lipstick__hourglass__girl_lip_stylo__creator.jpg,pink_nude,pink nude,color_coverage
lipstick__mac_cosmetics__retro_matte_lipstick__all_fired_up,lipstick__mac_cosmetics__retro_matte_lipstick__all_fired_up.png,purple_fuchsia,fuchsia,color_coverage
