id,img_name,color_group,parent_color
lipstick__melt_cosmetics__ultra_matte_lipstick__bane,lipstick__melt_cosmetics__ultra_matte_lipstick__bane.jpg,black,black
lipstick__kvd_beauty__everlasting_liquid_lipstick__witches,lipstick__kvd_beauty__everlasting_liquid_lipstick__witches.jpg,black,black
lipstick__aboutface__paintit_matte_lip_color__night_sight,lipstick__aboutface__paintit_matte_lip_color__night_sight.jpg,black,black
lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black,lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black.jpg,black,black
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__12_trending_topic,lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__12_trending_topic.jpg,black,charcol
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__extraterrestrial,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__extraterrestrial.jpg,blue_green,green
lipstick__melt_cosmetics__lipstick__space_cake,lipstick__melt_cosmetics__lipstick__space_cake.jpg,blue_green,blue gray
lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem,lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem.jpg,blue_green,teal
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__blue_oasis_835,lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__blue_oasis_835.jpg,blue_green,gray blue
lipstick__kvd_beauty__everlasting_liquid_lipstick__echo,lipstick__kvd_beauty__everlasting_liquid_lipstick__echo.jpg,blue_green,navy blue
lipstick__maybelline__superstay_matte_ink_lip_color__dancer,lipstick__maybelline__superstay_matte_ink_lip_color__dancer.jpg,brick,brick red
lipstick__nyx_professional_makeup__matte_lipstick__alabama,lipstick__nyx_professional_makeup__matte_lipstick__alabama.jpg,brick,brick red
lipstick__bareminerals__mineralist_lasting_matte_liquid_lipstick__passionate,lipstick__bareminerals__mineralist_lasting_matte_liquid_lipstick__passionate.jpg,brick,brick red
lipstick__colourpop__ultra_blotted_lip__cypress_chill,lipstick__colourpop__ultra_blotted_lip__cypress_chill.jpg,brick,brick rose
lipstick__lancome__labsolu_rouge_intimatte_lipstick__888_french_idol,lipstick__lancome__labsolu_rouge_intimatte_lipstick__888_french_idol.jpg,brick,brick rose
lipstick__tarte__tarteist_creamy_matte_lip_paint__rave,lipstick__tarte__tarteist_creamy_matte_lip_paint__rave.jpg,brown,greige
lipstick__antipodes__lipstick__boom_rock_bronze,lipstick__antipodes__lipstick__boom_rock_bronze.jpg,brown,brown
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__low_cut,lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__low_cut.jpg,brown,chocolate brown
lipstick__entice_cosmetics__lush_matte_liquid_lipstick__drape,lipstick__entice_cosmetics__lush_matte_liquid_lipstick__drape.jpg,brown,brown
lipstick__iconic_london__cloud_kiss_matte_lip_mousse__let_it_slip,lipstick__iconic_london__cloud_kiss_matte_lip_mousse__let_it_slip.jpg,brown,brown nude
lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__nightwalker,lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__nightwalker.jpg,brown,brown
lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo,lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo.jpg,brown,brown red
lipstick__nyx_professional_makeup__liquid_suede_cream_lipstick__downtown_beauty,lipstick__nyx_professional_makeup__liquid_suede_cream_lipstick__downtown_beauty.jpg,brown,walnut brown
lipstick__pat_mcgrath_labs__mattetrance_lipstick__divine_brown,lipstick__pat_mcgrath_labs__mattetrance_lipstick__divine_brown.jpg,brown,chocolate
lipstick__rms_beauty__tinted_daily_lip_balm__penny_lane,lipstick__rms_beauty__tinted_daily_lip_balm__penny_lane.jpg,brown,caramel brown
lipstick__loreal__colour_riche_satin_lipstick__divine_wine_762,lipstick__loreal__colour_riche_satin_lipstick__divine_wine_762.jpg,brown,brown red
lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__call_it_cozy,lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__call_it_cozy.jpg,brown,caramel
lipstick__morphe__matte_liquid_lipstick__peanut,lipstick__morphe__matte_liquid_lipstick__peanut.jpg,brown,sienna
lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel,lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel.jpg,brown,caramel
lipstick__becca_cosmetics__ultimate_lipstick_love__taupe,lipstick__becca_cosmetics__ultimate_lipstick_love__taupe.jpg,brown,cinnamon
lipstick__bobbi_brown__crushed_liquid_lipstick__juicy_date,lipstick__bobbi_brown__crushed_liquid_lipstick__juicy_date.jpg,brown,pink brown
lipstick__blkopl__cream_lipstick__bon_bon,lipstick__blkopl__cream_lipstick__bon_bon.jpg,brown,brown
lipstick__elf_cosmetics__glossy_lip_stain__cinnamon_dreamz,lipstick__elf_cosmetics__glossy_lip_stain__cinnamon_dreamz.jpg,brown,brown
lipstick__mac_cosmetics__matte_lipstick__taupe,lipstick__mac_cosmetics__matte_lipstick__taupe.web,brown,red brown
lipstick__tarte__maracuja_juicy_lip_vinyl__cacao,lipstick__tarte__maracuja_juicy_lip_vinyl__cacao.jpg,brown,brown
lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refillable_lipstick__grill_mastr,lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refillable_lipstick__grill_mastr.jpg,brown,maple red
lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian,lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian.jpg,brown,brown
lipstick__mac_cosmetics__locked_kiss_24hr_lipstick__posh,lipstick__mac_cosmetics__locked_kiss_24hr_lipstick__posh.jpg,brown,brown
lipstick__maybelline__superstay_matte_ink_lip_color__meditator,lipstick__maybelline__superstay_matte_ink_lip_color__meditator.jpg,coral,coral nude
lipstick__pat_mcgrath_labs__liquilust_legendary_wear_matte_lipstick__nude_venus,lipstick__pat_mcgrath_labs__liquilust_legendary_wear_matte_lipstick__nude_venus.jpg,coral,coral nude
lipstick__honeybee_gardens__truly_natural_lipstick__south_beach,lipstick__honeybee_gardens__truly_natural_lipstick__south_beach.jpg,coral,red coral
lipstick__rokael_beauty__refined_gold_velvet_lip_creme__destined,lipstick__rokael_beauty__refined_gold_velvet_lip_creme__destined.png,coral,golden coral peach
lipstick__colourpop__lippie_stix__topanga,lipstick__colourpop__lippie_stix__topanga.jpg,coral,coral
lipstick__au_naturale__eternity_sheer_lipstick__frose,lipstick__au_naturale__eternity_sheer_lipstick__frose.jpg,coral,coral
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__game_changer,lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__game_changer.jpg,coral,coral
lipstick__ofra_cosmetics__flexi_slick_lip_creme__buzz,lipstick__ofra_cosmetics__flexi_slick_lip_creme__buzz.jpg,coral,coral
lipstick__surratt_beauty__lipslique__paramour,lipstick__surratt_beauty__lipslique__paramour.jpg,coral,peach coral
lipstick__bodyography__lipstick__glint,lipstick__bodyography__lipstick__glint.jpg,gold_bronze,gold
lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops,lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops.jpg,gold_bronze,yellow
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character.jpg,gold_bronze,gold
lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible,lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour__60_inflexible.jpg,gold_bronze,bronze
lipstick__nars__full_vinyl_lip_lacquer__cape_town,lipstick__nars__full_vinyl_lip_lacquer__cape_town.jpg,gold_bronze,gold
lipstick__gerard_cosmetics__lipstick__1995,lipstick__gerard_cosmetics__lipstick__1995.png,mauve,pink mauve
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__swag,lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__swag.jpg,mauve,mauve
lipstick__loreal__colour_riche_satin_lipstick__mauved_140,lipstick__loreal__colour_riche_satin_lipstick__mauved_140.jpg,mauve,mauve pink
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__107a_ode_to_naural,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__107a_ode_to_naural.jpg,mauve,mauve rose
lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir,lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir.jpg,mauve,mauve
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_cream_lipstick__minx,lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_cream_lipstick__minx.jpg,mauve,mauve
lipstick__stila__stay_all_day_liquid_lipstick__firenze,lipstick__stila__stay_all_day_liquid_lipstick__firenze.jpg,mauve,mauve pink
lipstick__morphe__cream_lipstick__rebound,lipstick__morphe__cream_lipstick__rebound.jpg,mauve,rose mauve
lipstick__laura_mercier__petal_soft_lipstick_crayon__340_elodie,lipstick__laura_mercier__petal_soft_lipstick_crayon__340_elodie.jpg,mauve,mauve
lipstick__code8_beauty__matte_velour_lipstick__lima,lipstick__code8_beauty__matte_velour_lipstick__lima.jpg,mauve,mauve nude
lipstick__xx_revolution__xxude_satin_liquid_lipstick__nostalgia,lipstick__xx_revolution__xxude_satin_liquid_lipstick__nostalgia.jpg,mauve,blue mauve
lipstick__ofra_cosmetics__long_lasting_liquid_lipstick__pasadena,lipstick__ofra_cosmetics__long_lasting_liquid_lipstick__pasadena.jpg,mauve,mauve pink brown
lipstick__colourpop__blur_lux_lipstick__still_crazy,lipstick__colourpop__blur_lux_lipstick__still_crazy.jpg,mauve,mauve pink
lipstick__nyx_professional_makeup__smooth_whip_blurring_matte_lip_cream__18_onesie_funsie,lipstick__nyx_professional_makeup__smooth_whip_blurring_matte_lip_cream__18_onesie_funsie.jpg,mauve,mauve
lipstick__urban_decay__vice_hydrating_lipstick__liar,lipstick__urban_decay__vice_hydrating_lipstick__liar.jpg,nude_beige,nude
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300_forever_nude_style,lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300_forever_nude_style.jpg,nude_beige,beige
lipstick__nars__soft_matte_tinted_lip_balm__intimate,lipstick__nars__soft_matte_tinted_lip_balm__intimate.jpg,nude_beige,beige nude
lipstick__nyx_professional_makeup__smushy_matte_lip_balm__soft_smile,lipstick__nyx_professional_makeup__smushy_matte_lip_balm__soft_smile.jpg,nude_beige,nude
lipstick__persona__season_one_matte_liquid_lipstick__og,lipstick__persona__season_one_matte_liquid_lipstick__og.jpg,nude_beige,nude
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__06_hits_different,lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__06_hits_different.jpg,nude_beige,clear
lipstick__mac_cosmetics__matte_lipstick__act_natural,lipstick__mac_cosmetics__matte_lipstick__act_natural.jpg,nude_beige,golden nude
lipstick__dior__rouge_dior_forever_transferproof_lipstick__630_dune,lipstick__dior__rouge_dior_forever_transferproof_lipstick__630_dune.jpg,nude_beige,beige
lipstick__yves_saint_laurent__the_slim_glow_matte_lipstick__213_no_taboo_chili,lipstick__yves_saint_laurent__the_slim_glow_matte_lipstick__213_no_taboo_chili.jpg,nude_beige,chili nude
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__190r_walk_on_the_wild_side,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__190r_walk_on_the_wild_side.jpg,nude_beige,nude
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__13_going_live,lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__13_going_live.jpg,nude_beige,clear
lipstick__dior__addict_lip_glow_butter__103_toffee,lipstick__dior__addict_lip_glow_butter__103_toffee.jpg,nude_beige,nude beige
lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__impulsive,lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__impulsive.jpg,nude_beige,yellow nude
lipstick__revlon__super_lustrous_lipstick__725_love_that_red,lipstick__revlon__super_lustrous_lipstick__725_love_that_red.jpg,orange,watermelon red
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__409a_copper_couture,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__409a_copper_couture.jpg,orange,orange
lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__seduction,lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__seduction.jpg,orange,red orange
lipstick__la_bouche_rouge_paris__matte_lipstick__nude_brun_matte,lipstick__la_bouche_rouge_paris__matte_lipstick__nude_brun_matte.jpg,orange,orange nude
lipstick__kosas__weightless_lip_color_lipstick__thrillest,lipstick__kosas__weightless_lip_color_lipstick__thrillest.jpg,orange,red orange
lipstick__emilie_heathe__lip_atelier__public,lipstick__emilie_heathe__lip_atelier__public.jpg,orange,orange
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__earthbound_explorer,lipstick__jcat_beauty__flash_metal_metallic_matte_lip__earthbound_explorer.jpg,orange,orange
lipstick__colourpop__lippie_stix__brink,lipstick__colourpop__lippie_stix__brink.jpg,orange,terracotta rose
lipstick__dior__rouge_ultra_care_liquid_lipstick__749_dlight,lipstick__dior__rouge_ultra_care_liquid_lipstick__749_dlight.jpg,orange,orange
lipstick__winky_lux__matte_lip_velour_lipstick__dirty_love,lipstick__winky_lux__matte_lip_velour_lipstick__dirty_love.jpg,orange,orange
lipstick__milani__amore_satin_matte_lip_creme__velvet,lipstick__milani__amore_satin_matte_lip_creme__velvet.jpg,orange,brown terracotta
lipstick__tom_ford__extreme_lip_spark_lipstick__23_alias,lipstick__tom_ford__extreme_lip_spark_lipstick__23_alias.jpg,orange,orange red
lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy,lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy.jpg,other,heather
lipstick__nars__audacious_lipstick__greta,lipstick__nars__audacious_lipstick__greta.jpg,other,wild azalea
lipstick__buxom__full_force_plumping_lipstick__icon,lipstick__buxom__full_force_plumping_lipstick__icon.png,other,nectar
lipstick__melt_cosmetics__ultra_matte_lipstick__710,lipstick__melt_cosmetics__ultra_matte_lipstick__710.jpg,other,dijon mustard
lipstick__ctzn_cosmetics__nudiversal_lip_duo__capri,lipstick__ctzn_cosmetics__nudiversal_lip_duo__capri.jpg,peach,peach pink
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__turn_on,lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__turn_on.jpg,peach,peach nude
lipstick__beauty_pie__futurelipstick_matte__avalon,lipstick__beauty_pie__futurelipstick_matte__avalon.jpg,peach,peach
lipstick__nars__powermatte_lip_pigment__low_rider,lipstick__nars__powermatte_lip_pigment__low_rider.jpg,peach,peach pink
lipstick__anastasia_beverly_hills__matte_lipstick__hollywood,lipstick__anastasia_beverly_hills__matte_lipstick__hollywood.jpg,peach,peach
lipstick__givenchy__le_rouge_lipstick__102_beige_plume,lipstick__givenchy__le_rouge_lipstick__102_beige_plume.jpg,peach,peach beige
lipstick__make_up_for_ever__rouge_artist_lipstick__104_bold_cinnamon,lipstick__make_up_for_ever__rouge_artist_lipstick__104_bold_cinnamon.jpg,peach,peach
lipstick__melt_cosmetics__liquid_lipstick__fuse,lipstick__melt_cosmetics__liquid_lipstick__fuse.jpg,peach,peach beige
lipstick__colourpop__fresh_kiss_hydrating_lip_creme__makeout,lipstick__colourpop__fresh_kiss_hydrating_lip_creme__makeout.jpg,peach,peach pink
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__shero,lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__shero.web,peach,peach nude
lipstick__charlotte_tilbury__kissing_lipstick__red_carpet_pink,lipstick__charlotte_tilbury__kissing_lipstick__red_carpet_pink.jpg,pink,pink
lipstick__rms_beauty__tinted_daily_lip_balm__passion_lane,lipstick__rms_beauty__tinted_daily_lip_balm__passion_lane.jpg,pink,pink
lipstick__colourpop__lux_liquid_lip__genie,lipstick__colourpop__lux_liquid_lip__genie.jpg,pink,pink
lipstick__bossy_cosmetics__bullet_lipstick__experienced,lipstick__bossy_cosmetics__bullet_lipstick__experienced.png,pink,pink
lipstick__nars__lipstick__pour_toujours,lipstick__nars__lipstick__pour_toujours.jpg,pink,pink
lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy,lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__10_keep_it_glowy.jpg,pink,pink
lipstick__anastasia_beverly_hills__matte_lipstick__hush_pink,lipstick__anastasia_beverly_hills__matte_lipstick__hush_pink.jpg,pink,pink
lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__52_trapeze_pink,lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__52_trapeze_pink.jpg,pink,pink
lipstick__bossy_cosmetics__bullet_lipstick__graceful,lipstick__bossy_cosmetics__bullet_lipstick__graceful.jpg,pink,pink
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__peek_show,lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__peek_show.jpg,pink,peony
lipstick__bobbi_brown__crushed_lip_color__blush,lipstick__bobbi_brown__crushed_lip_color__blush.jpg,pink,blue pink
lipstick__dior__rouge_dior_refillable_lipstick__582_miss_d,lipstick__dior__rouge_dior_refillable_lipstick__582_miss_d.jpg,pink,pink
lipstick__juice_beauty__phytopigments_liquid_lip__09_apple,lipstick__juice_beauty__phytopigments_liquid_lip__09_apple.jpg,pink,hot pink
lipstick__wyn_beauty__no_words_needed_lip_serum__engage,lipstick__wyn_beauty__no_words_needed_lip_serum__engage.jpg,pink,pink
lipstick__laura_mercier__petal_soft_lipstick_crayon__322_camille,lipstick__laura_mercier__petal_soft_lipstick_crayon__322_camille.jpg,pink,pink
lipstick__julep__its_whipped_matte_lip_mousse__03_whisper_mauve,lipstick__julep__its_whipped_matte_lip_mousse__03_whisper_mauve.jpg,pink,pink
lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__confidence,lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__confidence.jpg,pink,pink carnation
lipstick__ravie_beauty__effortless_lips__peony,lipstick__ravie_beauty__effortless_lips__peony.jpg,pink,pink
lipstick__nars__lipstick__giusti,lipstick__nars__lipstick__giusti.jpg,pink_nude,mauve nude pink
lipstick__huda_beauty__power_bullet_matte_lipstick__staycation,lipstick__huda_beauty__power_bullet_matte_lipstick__staycation.web,pink_nude,pink beige
lipstick__huda_beauty__original_liquid_matte_lipstick__bombshell,lipstick__huda_beauty__original_liquid_matte_lipstick__bombshell.jpg,pink_nude,pink nude
lipstick__byredo__lipstick__commuter,lipstick__byredo__lipstick__commuter.tif,pink_nude,pink nude
lipstick__inika_organic__lipstick__nude_pink,lipstick__inika_organic__lipstick__nude_pink.jpg,pink_nude,nude pink
lipstick__romnd__juicy_lasting_tint__25_bare_grape,lipstick__romnd__juicy_lasting_tint__25_bare_grape.jpg,pink_nude,beige pink
lipstick__lime_crime__matte_velvetine_lipstick__marshmallow,lipstick__lime_crime__matte_velvetine_lipstick__marshmallow.jpg,pink_nude,nude pink
lipstick__lh_cosmetics__majestick__mellow_mauve,lipstick__lh_cosmetics__majestick__mellow_mauve.jpg,pink_nude,pink beige
lipstick__yves_saint_laurent__ysl_loveshine_lip_oil_stick__150_nude_lingerie,lipstick__yves_saint_laurent__ysl_loveshine_lip_oil_stick__150_nude_lingerie.jpg,pink_nude,nude pink
lipstick__bobbi_brown__crushed_lip_color__brownie,lipstick__bobbi_brown__crushed_lip_color__brownie.jpg,pink_nude,beige pink
lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__banquette,lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__banquette.jpg,pink_nude,beige pink
lipstick__nyx_professional_makeup__dazed_diffused_blurring_lip_stick__roller_disco,lipstick__nyx_professional_makeup__dazed_diffused_blurring_lip_stick__roller_disco.jpg,purple_fuchsia,purple
lipstick__morphe__love_bite_lip_stain__melon_nectar,lipstick__morphe__love_bite_lip_stain__melon_nectar.jpg,purple_fuchsia,magenta
lipstick__revlon__super_lustrous_lipstick__463_sassy_mauve,lipstick__revlon__super_lustrous_lipstick__463_sassy_mauve.jpg,purple_fuchsia,pink purple
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__death_valley_830,lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__death_valley_830.jpg,purple_fuchsia,pink purple
lipstick__ciate_london__liquid_velvet_matte_liquid_lipstick__head_over_heels,lipstick__ciate_london__liquid_velvet_matte_liquid_lipstick__head_over_heels.jpg,purple_fuchsia,fuchsia berry
lipstick__urban_decay__vice_lipstick_metallized__asphyxia,lipstick__urban_decay__vice_lipstick_metallized__asphyxia.jpg,purple_fuchsia,lavender
lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir,lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir.jpg,purple_fuchsia,purple plum
lipstick__givenchy__le_rouge_lipstick__323_framboise_couture,lipstick__givenchy__le_rouge_lipstick__323_framboise_couture.jpg,purple_fuchsia,berry fuchsia
lipstick__valentino__spike_valentino_buttery_matte_lip_color__605r_lilac_rain,lipstick__valentino__spike_valentino_buttery_matte_lip_color__605r_lilac_rain.jpg,purple_fuchsia,lavender
lipstick__milani__amore_satin_matte_lip_creme__violet_villain,lipstick__milani__amore_satin_matte_lip_creme__violet_villain.jpg,purple_fuchsia,purple
lipstick__milani__stay_put_matte_lip_crayon__190_v_cute,lipstick__milani__stay_put_matte_lip_crayon__190_v_cute.png,purple_fuchsia,berry fuchsia
lipstick__gucci__rouge_a_levres_satin_lipstick__405_grand_hotel,lipstick__gucci__rouge_a_levres_satin_lipstick__405_grand_hotel.jpg,purple_fuchsia,magenta
lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lipstick__bedtime_flirt,lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lipstick__bedtime_flirt.jpg,red,red pink
lipstick__chanel__rouge_allure_luminous_intense_lip_colour__211_subtile,lipstick__chanel__rouge_allure_luminous_intense_lip_colour__211_subtile.jpg,red,red beige
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red,lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,red,red
lipstick__givenchy__le_rouge_lipstick__37_rouge_graine,lipstick__givenchy__le_rouge_lipstick__37_rouge_graine.jpg,red,red
