img_name,label
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g104_felicia.jpg,swatch
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g105_isabelle.jpg,swatch
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g108_hazle.jpg,swatch
lipstick__dior__addict_lip_glow_balm__031_strawberry.jpg,bullet
lipstick__dior__addict_lip_glow_butter__103_toffee.jpg,swatch
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__300__xCgenRC.jpg,liquid
lipstick__dior__rouge_dior_forever_liquid_transferproof_lipstick__720__inQJSuu.jpg,liquid
lipstick__dior__rouge_dior_forever_transferproof_lipstick__630_dune.jpg,bullet
lipstick__dior__rouge_dior_refillable_lipstick__582_miss_d.jpg,bullet
lipstick__dior__rouge_ultra_care_liquid_lipstick__749_dlight.jpg,liquid
lipstick__dior__rouge_ultra_care_liquid_lipstick__855_sensual.jpg,liquid
lipstick__dior__rouge_ultra_rouge_lipstick__0_ultra_light.jpg,bullet
lipstick__elf_cosmetics__glossy_lip_stain__cinnamon_dreamz.jpg,liquid
lipstick__emilie_heathe__lip_atelier__public.jpg,swatch
lipstick__entice_cosmetics__lush_matte_liquid_lipstick__drape.jpg,closed
lipstick__fenty_beauty_by_rihanna__fenty_icon_the_fill_semimatte_refil_lIm6q5f.jpg,swatch
lipstick__fenty_beauty_by_rihanna__poutsicle_hydrating_lip_stain__berry_banger.jpg,swatch
lipstick__freck_beauty__makeout_club_soft_blur_lipstick__the_moment.jpg,swatch
lipstick__gerard_cosmetics__lipstick__1995.jpg,swatch
lipstick__givenchy__le_rose_perfecto_color_lip_balm__303_warming_red.jpg,bullet
lipstick__givenchy__le_rouge_lipstick__37_rouge_graine.jpg,bullet
lipstick__givenchy__le_rouge_lipstick__102_beige_plume.jpg,bullet
lipstick__givenchy__le_rouge_lipstick__323_framboise_couture.jpg,bullet
lipstick__gucci__rouge_a_levres_mat_matte_lipstick__they_met_in_argentina.jpg,swatch
lipstick__gucci__rouge_a_levres_satin_lipstick__405_grand_hotel.jpg,bullet
lipstick__gucci__rouge_a_levres_satin_lipstick__700_crystal_black.jpg,bullet
lipstick__honeybee_gardens__truly_natural_lipstick__south_beach.jpg,bullet
lipstick__hourglass__phantom_volumizing_glossy_lip_balm__impulse_130.jpg,swatch
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__game_changer.jpg,liquid
lipstick__huda_beauty__demi_matte_cream_liquid_lipstick__shero.jpg,swatch
lipstick__huda_beauty__original_liquid_matte_lipstick__bombshell.jpg,swatch
lipstick__huda_beauty__power_bullet_matte_lipstick__staycation.jpg,bullet
lipstick__iconic_london__cloud_kiss_matte_lip_mousse__let_it_slip.jpg,swatch
lipstick__ilia__balmy_tint_hydrating_lip_balm__memoir.jpg,swatch
lipstick__ilia__color_block_lipstick__tango.jpg,swatch
lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__banquette.jpg,swatch
lipstick__inika_organic__lipstick__nude_pink.jpg,bullet
lipstick__jason_wu_beauty__honey_fluff_lip_cream__01_adored.jpg,swatch
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__extraterrestrial.jpg,liquid
lipstick__jcat_beauty__flash_metal_metallic_matte_lip__marvelous_character.jpg,liquid
lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__drug_lord.jpg,liquid
lipstick__jones_road_beauty__the_lippie_stick__ruby.jpg,swatch
lipstick__juice_beauty__phytopigments_liquid_lip__09_apple.jpg,closed
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__04_dusty_orc_3YBSQxS.jpg,bullet
lipstick__julep__its_whipped_matte_lip_mousse__03_whisper_mauve.jpg,liquid
lipstick__kosas__weightless_lip_color_lipstick__thrillest.jpg,swatch
lipstick__kvd_beauty__everlasting_liquid_lipstick__dagger.jpg,liquid
lipstick__kvd_beauty__everlasting_liquid_lipstick__witches.jpg,liquid
lipstick__kylie_cosmetics__matte_lip_crayon__realizing_things.jpg,swatch
lipstick__kylie_cosmetics__matte_lip_kit__no_sleep.jpg,bullet
lipstick__la_bouche_rouge_paris__matte_lipstick__nude_brun_matte.jpg,swatch
lipstick__lancome__labsolu_rouge_intimatte_lipstick__888_french_idol.jpg,bullet
lipstick__lancome__lip_idole_squalane12_butterglow_hydrating_lip_balm__6zaHIPp.jpg,bullet
lipstick__laura_mercier__petal_soft_lipstick_crayon__322_camille.jpg,swatch
lipstick__laura_mercier__petal_soft_lipstick_crayon__340_elodie.jpg,swatch
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_satin_c_EiGcChm.jpg,swatch
lipstick__lh_cosmetics__majestick__mellow_mauve.jpg,bullet
lipstick__lime_crime__matte_velvetine_lipstick__beet_it.jpg,liquid
lipstick__lime_crime__matte_velvetine_lipstick__new_americana.jpg,liquid
lipstick__lime_crime__plushies_liquid_lipstick__sorbet.jpg,liquid
lipstick__lipstick_queen__lipdulgence_lip_mousse__sugar_plum.jpg,liquid
lipstick__lisa_eldridge_makeup__rouge_experience_refillable_lipstick__184_romy.jpg,swatch
lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_r_PSTmqe1.jpg,bullet
lipstick__loreal__colour_riche_les_nus_intense_lipstick__nu_insouciant.jpg,bullet
lipstick__loreal__colour_riche_satin_lipstick__divine_wine_762.jpg,bullet
lipstick__loreal__colour_riche_satin_lipstick__mauved_140.jpg,swatch
lipstick__mac_cosmetics__glow_play_tendertalk_lip_balm__oops.jpg,swatch
lipstick__mac_cosmetics__locked_kiss_24hr_lipstick__posh.jpg,swatch
lipstick__mac_cosmetics__macximal_silky_matte_lipstick__viva_empowered.jpg,swatch
lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__call_it_cozy.jpg,swatch
lipstick__mac_cosmetics__matte_lipstick__act_natural.jpg,bullet
lipstick__mac_cosmetics__matte_lipstick__taupe.jpg,swatch
lipstick__mac_cosmetics__powder_kiss_liquid_lipcolour__impulsive.jpg,swatch
lipstick__make_up_for_ever__rouge_artist_lipstick__104_bold_cinnamon.jpg,bullet
lipstick__makeup_by_mario__ultra_suede_lipstick__kristen.jpg,swatch
lipstick__marie_hunter__lustrous_lipstick__ogden_avenue.jpg,bullet
lipstick__maybelline__superstay_matte_ink_lip_color__dancer.jpg,liquid
lipstick__maybelline__superstay_matte_ink_lip_color__meditator.jpg,liquid
lipstick__melt_cosmetics__lipstick__space_cake.jpg,bullet
lipstick__melt_cosmetics__lipstick__tomboy.jpg,bullet
lipstick__melt_cosmetics__liquid_lipstick__death_cherry.jpg,liquid
lipstick__melt_cosmetics__liquid_lipstick__fuse.jpg,liquid
lipstick__melt_cosmetics__ultra_matte_lipstick__710.jpg,bullet
lipstick__melt_cosmetics__ultra_matte_lipstick__bane.jpg,bullet
lipstick__merit__signature_lip_lightweight_matte_lipstick__equestrian.jpg,swatch
lipstick__milani__amore_satin_matte_lip_creme__velvet.jpg,swatch
lipstick__milani__stay_put_matte_lip_crayon__190_v_cute.jpg,bullet
lipstick__mob_beauty__soft_matte_lipstick__m94.jpg,swatch
lipstick__morphe__cream_lipstick__rebound.jpg,swatch
lipstick__morphe__love_bite_lip_stain__melon_nectar.jpg,liquid
lipstick__morphe__matte_liquid_lipstick__peanut.jpg,swatch
lipstick__nars__afterglow_lip_balm__wicked_ways.jpg,bullet
lipstick__nars__audacious_lipstick__greta.jpg,swatch
lipstick__nars__audacious_lipstick__lea.jpg,bullet
lipstick__nars__audacious_lipstick__vera.jpg,swatch
lipstick__nars__explicit_refillable_satin_lipstick__821_liason.jpg,swatch
lipstick__nars__full_vinyl_lip_lacquer__cape_town.jpg,liquid
lipstick__nars__lipstick__exbury.jpg,bullet
lipstick__nars__lipstick__giusti.jpg,bullet
lipstick__nars__lipstick__pour_toujours.jpg,swatch
lipstick__nars__powermatte_lip_pigment__low_rider.jpg,swatch
lipstick__nars__powermatte_lip_pigment__somebody_to_love.jpg,swatch
lipstick__nars__powermatte_lip_pigment__walk_this_way.jpg,swatch
lipstick__nars__soft_matte_tinted_lip_balm__intimate.jpg,swatch
lipstick__natasha_denona__i_need_a_nude_lipstick__31np_beatrice.jpg,bullet
lipstick__nudestix__intense_matte_lip_cheek_pencil__vintage.jpg,swatch
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__pebq6cL.jpg,swatch
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__obWfK4R.jpg,swatch
lipstick__nyx_professional_makeup__fat_oil_slick_click_vegan_lip_balm__Pk9W0VG.jpg,color_not_shown
lipstick__nyx_professional_makeup__lip_lingerie_matte_liquid_lipstick__2q4611j.jpg,swatch
lipstick__nyx_professional_makeup__lip_lingerie_pushup_longlasting_lip_eBVdeme.jpg,swatch
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte__RoiXf2D.jpg,liquid
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte__u0UtV8f.jpg,liquid
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte__gtCARH7.jpg,liquid
lipstick__nyx_professional_makeup__liquid_suede_cream_lipstick__downto_2ghHcFa.jpg,liquid
lipstick__nyx_professional_makeup__matte_lipstick__alabama.jpg,bullet
lipstick__nyx_professional_makeup__shout_loud_satin_lipstick__everyone_lies.jpg,bullet
lipstick__nyx_professional_makeup__smooth_whip_blurring_matte_lip_crea_Ek6zlaZ.jpg,swatch
lipstick__nyx_professional_makeup__smushy_matte_lip_balm__soft_smile.jpg,swatch
lipstick__ofra_cosmetics__flexi_slick_lip_creme__buzz.jpg,liquid
lipstick__ofra_cosmetics__long_lasting_liquid_lipstick__pasadena.jpg,swatch
lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lip_gVROlAc.jpg,liquid
lipstick__pat_mcgrath_labs__liquilust_legendary_wear_matte_lipstick__n_S2RxXrE.jpg,swatch
lipstick__pat_mcgrath_labs__mattetrance_lipstick__divine_brown.jpg,bullet
lipstick__persona__season_one_matte_liquid_lipstick__og.jpg,liquid
lipstick__queen_musia__skincare_supercharged_tinted_hydrabalm__noble_vine.jpg,bullet
lipstick__ravie_beauty__effortless_lips__peony.jpg,swatch
lipstick__revlon__super_lustrous_lipstick__463_sassy_mauve.jpg,swatch
lipstick__revlon__super_lustrous_lipstick__725_love_that_red.jpg,bullet
lipstick__revlon__super_lustrous_lipstick__812_porto_please.jpg,swatch
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__blue_oasis_835.jpg,swatch
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__death_valley_830.jpg,closed
lipstick__revolution_pro__supreme_matte_lip_pigment__psychedelic.jpg,swatch
lipstick__rms_beauty__tinted_daily_lip_balm__passion_lane.jpg,swatch
lipstick__rms_beauty__tinted_daily_lip_balm__penny_lane.jpg,swatch
lipstick__rokael_beauty__refined_gold_velvet_lip_creme__destined.jpg,swatch
lipstick__romnd__dewyful_water_tint__07_cherry_way.jpg,liquid
lipstick__romnd__juicy_lasting_tint__25_bare_grape.jpg,liquid
lipstick__smashbox__always_on_cream_to_matte_lipstick__caliente.jpg,bullet
lipstick__soshe_beauty__ceramide_refillable_lip_silk__wine_stained.jpg,swatch
lipstick__stila__stay_all_day_liquid_lipstick__firenze.jpg,liquid
lipstick__surratt_beauty__lipslique__paramour.jpg,swatch
lipstick__tarte__maracuja_juicy_lip_vinyl__cacao.jpg,swatch
lipstick__tarte__tarteist_creamy_matte_lip_paint__rave.jpg,liquid
lipstick__tom_ford__extreme_lip_spark_lipstick__23_alias.jpg,bullet
lipstick__urban_decay__vice_hydrating_lipstick__liar.jpg,swatch
lipstick__urban_decay__vice_lipstick_metallized__asphyxia.jpg,bullet
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__SYs20Rq.jpg,swatch
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__kBbhTuW.jpg,swatch
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__kmWoeSv.jpg,swatch
lipstick__valentino__spike_valentino_buttery_matte_lip_color__605r_lilac_rain.jpg,bullet
lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonb_mjzjRVL.jpg,bullet
lipstick__winky_lux__matte_lip_velour_lipstick__dirty_love.jpg,swatch
lipstick__wonderskin__wonder_blading_peel_reveal_lip_stain_kit__divine.jpg,liquid
lipstick__wyn_beauty__no_words_needed_lip_serum__engage.jpg,liquid
lipstick__xx_revolution__xxude_satin_liquid_lipstick__nostalgia.jpg,swatch
lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment__QuYMMs2.jpg,bullet
lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__52_tr_TJeAE7s.jpg,bullet
lipstick__yves_saint_laurent__the_inks_vinyl_cream_high_shine_lip_stai_No9IoC6.jpg,liquid
lipstick__yves_saint_laurent__the_slim_glow_matte_lipstick__213_no_taboo_chili.jpg,bullet
lipstick__yves_saint_laurent__ysl_loveshine_lip_oil_stick__150_nude_lingerie.jpg,bullet
